Pathway	GeneID	Symbol	Description	Drought_W24_log2FC	Drought_W24_padj	Drought_W8_log2FC	Drought_W8_padj	W24_vs_W8_Drought_log2FC	W24_vs_W8_Drought_padj	W24_vs_W8_Control_log2FC	W24_vs_W8_Control_padj
Protein_Kinase_Signalling	HORVU5Hr1G098820	HORVU5Hr1G098820		0.1666	0.812753	0.3463	0.774819	-0.4721	0.606531	-0.2924	0.543274
Protein_Kinase_Signalling	HORVU5Hr1G098840	HORVU5Hr1G098840		1.0431	0.45412	1.0462	0.748751	-0.5978	0.572542	-0.5947	0.316059
ABA	HORVU5Hr1G098860	HORVU5Hr1G098860		-0.1121	0.803582	-1.221	0.748751	1.3367	0.339679	0.2278	0.712122
ABA	HORVU5Hr1G098890	HORVU5Hr1G098890	Malate dehydrogenase [Source:UniProtKB/TrEMBL;Acc:A0A287SGM5]	0.0019	0.993299	-0.2394	0.748751	0.2128	0.377723	-0.0285	0.87879
ABA	HORVU5Hr1G098980	HORVU5Hr1G098980		0.193	0.411861	0.0649	0.948283	0.3206	0.566104	0.1925	0.625464
Methionine	HORVU5Hr1G099020	HORVU5Hr1G099020		0.2443	0.65129	-0.3375	0.748751	0.4222	0.560794	-0.1596	0.580089
Cytokinin	HORVU5Hr1G099030	HORVU5Hr1G099030		0.5576	0.445099	0.1479	0.840476	-0.119	0.606531	-0.5287	0.465959
Photosynthesis	HORVU5Hr1G099070	HORVU5Hr1G099070	Protein AE7-like 1 [Source:Projected from Arabidopsis thaliana (AT3G50845) UniProtKB/Swiss-Prot;Acc:A8MR89]	-0.4573	0.4075	-0.3448	0.748751	-0.3788	0.511584	-0.2663	0.312298
Cytokinin	HORVU5Hr1G099080	HORVU5Hr1G099080	Pentatricopeptide repeat-containing protein At2g22070 [Source:Projected from Arabidopsis thaliana (AT2G22070) UniProtKB/Swiss-Prot;Acc:Q9SHZ8]	-0.1983	0.589865	-0.178	0.834959	-0.6019	0.514751	-0.5816	0.28308
Methionine	HORVU5Hr1G099090	HORVU5Hr1G099090		0.1758	0.635127	-0.3572	0.748751	0.001	0.996363	-0.532	0.155316
Transcription	HORVU5Hr1G099160	HORVU5Hr1G099160		-0.4538	0.354508	-0.3197	0.748751	0.0644	0.837778	0.1985	0.30373
