Pathway	GeneID	Symbol	Description	Drought_W24_log2FC	Drought_W24_padj	Drought_W8_log2FC	Drought_W8_padj	W24_vs_W8_Drought_log2FC	W24_vs_W8_Drought_padj	W24_vs_W8_Control_log2FC	W24_vs_W8_Control_padj
Transcription	HORVU1Hr1G066390	HORVU1Hr1G066390		0	NA	2.6465	0.748751	-2.6465	0.566322	0	NA
Methionine	HORVU1Hr1G066410	HORVU1Hr1G066410		0.0456	0.948517	-0.0321	0.971578	0.0475	0.94269	-0.0303	0.938516
Cytokinin	HORVU1Hr1G066420	HORVU1Hr1G066420		-0.4016	0.541346	-0.1763	0.895338	-0.2045	0.815904	0.0208	0.963519
ROS_Scavenging	HORVU1Hr1G066450	HORVU1Hr1G066450	Peroxidase [Source:UniProtKB/TrEMBL;Acc:A0A287G0W9]	1.1906	0.589865	1.6707	0.748751	-0.4508	0.786361	0.0293	0.941585
Cytokinin	HORVU1Hr1G066460	HORVU1Hr1G066460	Predicted protein [Source:UniProtKB/TrEMBL;Acc:F2CX04]	0.2811	0.54406	-0.1138	0.822745	0.265	0.520356	-0.1299	0.580509
Flavonoid	HORVU1Hr1G066470	HORVU1Hr1G066470	Glycosyltransferase [Source:UniProtKB/TrEMBL;Acc:M0YGP2]	1.5865	0.670681	1.346	0.748751	1.1611	0.632577	0.9205	0.58482
Cytokinin	HORVU1Hr1G066510	HORVU1Hr1G066510		0.4995	0.497076	-0.0397	0.952604	-0.4753	0.48095	-1.0145	0.146962
Cytokinin	HORVU1Hr1G066520	HORVU1Hr1G066520		-0.3065	0.411017	0.1213	0.851212	-0.4878	0.45712	-0.06	0.833742
Cytokinin	HORVU1Hr1G066530	HORVU1Hr1G066530	Predicted protein [Source:UniProtKB/TrEMBL;Acc:F2EF48]	-0.2965	0.592736	-0.1291	0.932221	-0.0258	0.97932	0.1416	0.698745
Cytokinin	HORVU1Hr1G066630	HORVU1Hr1G066630		-0.3766	0.481577	-0.2066	0.748751	0.7501	0.356522	0.9202	0.094661
Brassinosteroid	HORVU1Hr1G066650	HORVU1Hr1G066650		0.0844	0.888382	0.184	0.757123	-0.1689	0.649495	-0.0693	0.879171
MAPK_Signalling	HORVU1Hr1G066750	HORVU1Hr1G066750		-0.5356	0.719029	-1.8075	0.748751	2.1095	0.542671	0.8376	0.432052
Cytokinin	HORVU1Hr1G066760	HORVU1Hr1G066760	Histone deacetylase [Source:UniProtKB/TrEMBL;Acc:A0A287G132]	-0.2689	0.560218	-0.1253	0.829272	0.2289	0.606531	0.3725	0.221421
Omega3_Fatty_Acid	HORVU1Hr1G066830	mutS-like protein 5	DNA mismatch repair protein MSH5 [Source:Projected from Arabidopsis thaliana (AT3G20475) UniProtKB/Swiss-Prot;Acc:F4JEP5]	-0.2111	0.41057	0.0205	0.90897	0.0725	0.606531	0.304	0.128669
ROS_Scavenging	HORVU1Hr1G066980	HORVU1Hr1G066980		-0.4294	0.382652	0.2373	0.748751	-0.6402	0.391297	0.0265	0.928164
Photosynthesis	HORVU1Hr1G067000	HORVU1Hr1G067000	Glyoxysomal processing protease, glyoxysomal [Source:Projected from Arabidopsis thaliana (AT1G28320) UniProtKB/Swiss-Prot;Acc:Q8VZD4]	-0.2978	0.553614	-0.1769	0.757123	0.1158	0.756766	0.2367	0.432052
Serine	HORVU1Hr1G067020	HORVU1Hr1G067020		0.2451	0.670681	0.158	0.829793	-0.3417	0.585792	-0.4288	0.330125
Jasmonate_JA	HORVU1Hr1G067070	HORVU1Hr1G067070		0.1443	0.955485	0.4026	0.896433	-3.139	0.559504	-2.8807	0.286238
Jasmonate_JA	HORVU1Hr1G067080	HORVU1Hr1G067080	Predicted protein [Source:UniProtKB/TrEMBL;Acc:F2D4T9]	0.6013	0.793931	-0.4669	0.851801	-2.4202	0.563364	-3.4883	0.354125
Transcription	HORVU1Hr1G067100	HORVU1Hr1G067100		0.0522	0.84451	0.1246	0.748751	0.1053	0.621192	0.1778	0.444466
Transcription	HORVU1Hr1G067110	HORVU1Hr1G067110		-0.3213	0.670681	0.6235	0.748751	-1.2049	0.356522	-0.2601	0.628823
Serine	HORVU1Hr1G067200	HORVU1Hr1G067200		-0.1345	0.819615	0.3128	0.748751	-0.5548	0.427592	-0.1075	0.787015
Jasmonate_JA	HORVU1Hr1G067230	HORVU1Hr1G067230		0.0782	0.950561	0.4341	0.754704	-1.0432	0.498356	-0.6873	0.384727
Glycolysis	HORVU1Hr1G067300	HORVU1Hr1G067300	Phosphoglycerate kinase [Source:UniProtKB/TrEMBL;Acc:M0Z2X3]	0.6971	0.461057	-0.0062	0.992573	0.6192	0.407201	-0.0841	0.864655
Starch	HORVU1Hr1G067460	HORVU1Hr1G067460	Predicted protein; Uncharacterized protein [Source:UniProtKB/TrEMBL;Acc:M0W5T0]	-0.2265	0.795759	-0.289	0.748751	-0.6236	0.441449	-0.6861	0.269507
Phospholipid_Biosynthesis	HORVU1Hr1G067480	HORVU1Hr1G067480	Glycerol-3-phosphate dehydrogenase [NAD(+)] [Source:UniProtKB/TrEMBL;Acc:A0A287G218]	0.6025	0.582662	1.049	0.750669	-0.5954	0.731869	-0.1489	0.772851
Cytokinin	HORVU1Hr1G067520	HORVU1Hr1G067520		-0.3869	0.582998	-0.2716	0.748751	0.2878	0.606531	0.4031	0.26215
Cytokinin	HORVU1Hr1G067590	HORVU1Hr1G067590		-0.8977	0.569811	-0.1013	0.973609	0.6779	0.668418	1.4743	0.31584
Transcription	HORVU1Hr1G067680	HORVU1Hr1G067680		0.0253	0.969858	-1.0718	0.748751	0.427	0.42026	-0.6701	0.420124
Cytokinin	HORVU1Hr1G067690	HORVU1Hr1G067690		0.1424	0.867054	0.3773	0.748751	-1.0004	0.276517	-0.7654	0.315756
Starch	HORVU1Hr1G067730	HORVU1Hr1G067730		1.2975	0.670681	-0.6384	0.748751	0.1603	0.919353	-1.7757	0.284118
Transcription	HORVU1Hr1G067820	HORVU1Hr1G067820	Transcription elongation factor spt6 [Source:UniProtKB/TrEMBL;Acc:M0ULB2]	-0.1951	0.707712	-0.4429	0.748751	0.9902	0.403125	0.7424	0.160768
ABA	HORVU1Hr1G067860	HORVU1Hr1G067860		-1.0416	0.705869	1.0356	0.748751	-1.9516	0.515055	0.1256	0.938154
Cysteine	HORVU1Hr1G067870	HORVU1Hr1G067870	Cysteine proteinase inhibitor [Source:UniProtKB/TrEMBL;Acc:A0A287G298]	0.2402	0.74884	0.4913	0.748751	0.3514	0.606531	0.6025	0.321108
Transcription	HORVU1Hr1G067880	HORVU1Hr1G067880		-0.401	0.542797	0.0369	0.939176	-0.9307	0.347714	-0.4928	0.218635
ABA	HORVU1Hr1G067970	HORVU1Hr1G067970		-1.0871	0.670681	0.3608	0.899048	-0.9625	0.606531	0.4854	0.772509
Cysteine	HORVU1Hr1G067980	HORVU1Hr1G067980	Cysteine proteinase inhibitor [Source:UniProtKB/TrEMBL;Acc:F2DJ91]	0.3389	0.676724	0.3091	0.748751	-1.4884	0.274213	-1.5182	0.289307
Transcription	HORVU1Hr1G067990	HORVU1Hr1G067990		-0.1892	0.411017	0.0332	0.941739	0.825	0.298284	1.0474	0.067951
Protein_Kinase_Signalling	HORVU1Hr1G068010	HORVU1Hr1G068010		-1.3026	0.494313	-0.2505	0.818612	-0.7448	0.524013	0.3073	0.646537
Flavonoid	HORVU1Hr1G068030	HORVU1Hr1G068030	Predicted protein [Source:UniProtKB/TrEMBL;Acc:F2DNZ5]	-0.2193	0.879627	0.9221	0.748751	-1.412	0.42937	-0.2706	0.761341
Transcription	HORVU1Hr1G068040	HORVU1Hr1G068040		2.9037	0.589865	0	NA	2.9037	0.501014	0	NA
Protein_Kinase_Signalling	HORVU1Hr1G068080	HORVU1Hr1G068080		-0.7551	0.796447	2.6163	0.748751	-0.9556	0.651266	2.4158	0.563201
Protein_Kinase_Signalling	HORVU1Hr1G068160	HORVU1Hr1G068160		0.2178	0.779747	1.1664	0.748751	-0.5924	0.427699	0.3562	0.58482
ABA	HORVU1Hr1G068220	HORVU1Hr1G068220		1.4555	0.518035	1.3005	0.748751	-0.0301	0.969784	-0.1852	0.842498
ABA	HORVU1Hr1G068240	HORVU1Hr1G068240		0	NA	0.3471	0.748751	-0.3471	0.606531	0	NA
ROS_Scavenging	HORVU1Hr1G068320	HORVU1Hr1G068320		0.1106	0.629146	-0.0569	0.94311	0.2993	0.514403	0.1318	0.68356
MAPK_Signalling	HORVU1Hr1G068380	HORVU1Hr1G068380		-2.4303	0.582948	-1.1144	0.803724	-2.7888	0.287431	-1.4729	0.619345
Inositol	HORVU1Hr1G068420	HORVU1Hr1G068420		-0.1696	0.821554	-0.1262	0.899857	-0.4012	0.628274	-0.3577	0.315583
Fatty_Acid	HORVU1Hr1G068430	HvSnRK1beta2		-0.5848	0.584685	-0.4799	0.748751	-0.5972	0.484654	-0.4923	0.494057
Inositol	HORVU1Hr1G068440	HORVU1Hr1G068440		0.0504	0.9309	0.2598	0.757414	-0.91	0.417629	-0.7006	0.223889
Inositol	HORVU1Hr1G068450	HORVU1Hr1G068450		0.3641	0.776599	-0.2183	0.851941	0.2572	0.786806	-0.3252	0.684432
Lysine	HORVU1Hr1G068460	HORVU1Hr1G068460		0.7946	0.733866	0.8128	0.748751	-1.2525	0.42937	-1.2344	0.369811
Lignin	HORVU1Hr1G068490	HORVU1Hr1G068490	Proteasome subunit alpha type [Source:UniProtKB/TrEMBL;Acc:M0X5Y1]	-0.3746	0.350106	-0.163	0.748751	-0.2566	0.425378	-0.0451	0.516769
Cytokinin	HORVU1Hr1G068500	HORVU1Hr1G068500		0.3664	0.52585	-0.055	0.796828	0.0386	0.881763	-0.3828	0.152473
ABA	HORVU1Hr1G068520	HORVU1Hr1G068520		-0.1116	0.823897	-0.0871	0.840551	0.1574	0.606531	0.1819	0.631204
Cytokinin	HORVU1Hr1G068550	HORVU1Hr1G068550		0.028	0.670681	-0.3201	0.748751	-0.0013	0.985983	-0.3494	0.432052
Tryptophan	HORVU1Hr1G068590	HORVU1Hr1G068590		0.3897	0.73463	0.383	0.748751	0.4581	0.606531	0.4514	0.623555
Protein_Kinase_Signalling	HORVU1Hr1G068660	HORVU1Hr1G068660		-0.35	0.628768	-0.7035	0.748751	1.2864	0.366829	0.9329	0.262132
ABA	HORVU1Hr1G068760	HORVU1Hr1G068760	Predicted protein [Source:UniProtKB/TrEMBL;Acc:F2CZ36]	0.0476	0.948586	-0.0379	0.931133	-0.4388	0.487321	-0.5243	0.273094
Proline	HORVU1Hr1G068850	HORVU1Hr1G068850	Predicted protein [Source:UniProtKB/TrEMBL;Acc:F2DPW3]	0.4593	0.615812	0.1132	0.8679	-1.9454	0.311451	-2.2915	0.178466
Inositol	HORVU1Hr1G068860	HORVU1Hr1G068860		0.529	0.620248	0.6593	0.748751	-0.6355	0.410353	-0.5051	0.276389
ROS_Scavenging	HORVU1Hr1G068930	HORVU1Hr1G068930		-0.6008	0.411017	-0.4789	0.802812	0.6695	0.606531	0.7915	0.212188
Translation	HORVU1Hr1G068940	HORVU1Hr1G068940		0.8764	0.637305	1.1184	0.748751	-1.0911	0.475928	-0.849	0.162985
ROS_Scavenging	HORVU1Hr1G068950	HORVU1Hr1G068950		0.056	0.416081	0.0672	0.81673	0.4381	0.339679	0.4493	0.095667
ROS_Scavenging	HORVU1Hr1G068960	HORVU1Hr1G068960	Protein DETOXIFICATION [Source:UniProtKB/TrEMBL;Acc:A0A287G306]	-0.1794	0.533041	0.2091	0.911723	0.2966	0.757135	0.685	0.13732
Cytokinin	HORVU1Hr1G069020	HORVU1Hr1G069020		0	NA	-0.1583	0.909671	-3.5691	0.414671	-3.7274	0.217811
Lignin	HORVU1Hr1G069060	HORVU1Hr1G069060		0.0293	0.851914	-0.0692	0.781723	0.2642	0.364642	0.1657	0.270549
Cytokinin	HORVU1Hr1G069080	HORVU1Hr1G069080		0.2793	0.80395	0.1201	0.804539	0.1956	0.800954	0.0364	0.955653
Protein_Kinase_Signalling	HORVU1Hr1G069100	HORVU1Hr1G069100		-0.0259	0.912481	0.2504	0.748751	0.4884	0.363946	0.7647	0.113883
Transcription	HORVU1Hr1G069140	HORVU1Hr1G069140		0.5824	0.620981	1.5589	0.748751	-0.0917	0.948606	0.8847	0.336026
Cytokinin	HORVU1Hr1G069210	HORVU1Hr1G069210	Predicted protein [Source:UniProtKB/TrEMBL;Acc:F2CYE8]	0.0646	0.721882	0.2189	0.748751	-0.4276	0.405024	-0.2733	0.217811
Lignin	HORVU1Hr1G069250	HORVU1Hr1G069250		-0.1426	0.670681	-0.2336	0.748751	0.2936	0.422959	0.2026	0.368978
Protein_Kinase_Signalling	HORVU1Hr1G069400	HORVU1Hr1G069400		-0.0744	0.911126	-0.3703	0.748751	0.8504	0.432638	0.5545	0.391628
Transcription	HORVU1Hr1G069420	HORVU1Hr1G069420		-0.1397	0.942975	0.2941	0.883433	-0.0077	0.996841	0.4261	0.58482
Flavonoid	HORVU1Hr1G069470	HORVU1Hr1G069470	Glycosyltransferase [Source:UniProtKB/TrEMBL;Acc:M0Y7W4]	1.52	0.599911	1.053	0.748751	-1.3736	0.335573	-1.8405	0.2696
Protein_Kinase_Signalling	HORVU1Hr1G069510	HORVU1Hr1G069510		0.9784	0.630963	0.852	0.748751	0.0247	0.981304	-0.1017	0.895794
ROS_Scavenging	HORVU1Hr1G069530	HORVU1Hr1G069530		-0.256	0.461662	0.0258	0.954379	-0.3674	0.413659	-0.0856	0.659265
Glutathione_Metabolism	HORVU1Hr1G069550	HORVU1Hr1G069550	Thioredoxin [Source:UniProtKB/TrEMBL;Acc:A0A287G3P3]	0.1019	0.944737	0.1171	0.947877	0.273	0.773352	0.2883	0.805388
Photosynthesis	HORVU1Hr1G069560	HORVU1Hr1G069560	Serine/threonine-protein kinase STN8, chloroplastic [Source:Projected from Arabidopsis thaliana (AT5G01920) UniProtKB/Swiss-Prot;Acc:Q9LZV4]	0.5506	0.390126	-0.2254	0.748751	0.1761	0.606531	-0.5999	0.192266
MAPK_Signalling	HORVU1Hr1G069610	HORVU1Hr1G069610		0	NA	-1.1089	0.748751	0	NA	-1.1089	0.58482
ABA	HORVU1Hr1G069620	HORVU1Hr1G069620		0.0574	0.972096	2.9548	0.748751	-4.2684	0.456876	-1.371	0.234867
ROS_Scavenging	HORVU1Hr1G069670	HORVU1Hr1G069670		2.9261	0.45634	0.4538	0.846518	-1.0507	0.514793	-3.523	0.486258
ABA	HORVU1Hr1G069800	HORVU1Hr1G069800	Non-specific lipid-transfer protein [Source:UniProtKB/TrEMBL;Acc:F2CQL6]	-0.8218	0.670681	1.8162	0.748751	-4.595	0.53397	-1.9571	0.423609
ROS_Scavenging	HORVU1Hr1G069830	HORVU1Hr1G069830		-0.6745	0.644832	1.1524	0.748751	2.7273	0.478651	4.5541	0.194742
tRNA_Aminoacylation	HORVU1Hr1G069900	HORVU1Hr1G069900		1.0107	0.638	0.188	0.886128	0.2104	0.821973	-0.6123	0.621389
Ubiquitin_Proteasome	HORVU1Hr1G069990	HORVU1Hr1G069990	RING-type E3 ubiquitin transferase [Source:UniProtKB/TrEMBL;Acc:F2DFA0]	0.039	0.815773	1.3697	0.748751	-1.8889	0.388444	-0.5581	0.322319
Photosynthesis	HORVU1Hr1G070040	HORVU1Hr1G070040	L-type lectin-domain containing receptor kinase S.6 [Source:Projected from Arabidopsis thaliana (AT5G42120) UniProtKB/Swiss-Prot;Acc:Q9FHX3]	-0.3752	0.815246	-0.2362	0.904629	0.6999	0.669392	0.8388	0.520889
Protein_Kinase_Signalling	HORVU1Hr1G070100	HORVU1Hr1G070100	Non-specific serine/threonine protein kinase [Source:UniProtKB/TrEMBL;Acc:A0A287G3Z9]	0.463	0.685382	0.18	0.828492	0.8652	0.541929	0.5822	0.310004
Photosynthesis	HORVU1Hr1G070110	HORVU1Hr1G070110	DNA replication licensing factor MCM3 [Source:Projected from Arabidopsis thaliana (AT5G46280) UniProtKB/Swiss-Prot;Acc:Q9FL33]	-6e-04	0.999751	-1.184	0.748751	0.6027	0.755393	-0.5806	0.695526
Cytokinin	HORVU1Hr1G070190	HORVU1Hr1G070190		-0.4376	0.501374	-0.6016	0.748751	0.5352	0.35522	0.3711	0.322596
Cytokinin	HORVU1Hr1G070200	HORVU1Hr1G070200	Predicted protein [Source:UniProtKB/TrEMBL;Acc:F2CPP2]	0.6494	0.429999	-0.0446	0.898604	0.0363	0.896127	-0.6577	0.175689
Ubiquitin_Proteasome	HORVU1Hr1G070210	HORVU1Hr1G070210		0	NA	-1.741	0.748751	0	NA	-1.741	0.58482
ABA	HORVU1Hr1G070220	HORVU1Hr1G070220	Predicted protein; Uncharacterized protein [Source:UniProtKB/TrEMBL;Acc:M0X5A5]	1.6097	0.496509	0.6834	0.748751	-1.3938	0.43682	-2.3201	0.497177
ROS_Scavenging	HORVU1Hr1G070230	HORVU1Hr1G070230		-0.4713	0.478821	-0.1733	0.78448	-0.0151	0.974089	0.283	0.408858
Flavonoid	HORVU1Hr1G070250	HORVU1Hr1G070250		-0.7299	0.670681	1.1208	0.748751	-2.0695	0.527185	-0.2188	0.839254
Cytokinin	HORVU1Hr1G070270	HORVU1Hr1G070270		-0.1389	0.703384	0.1804	0.748751	-0.1599	0.61651	0.1595	0.58482
Cytokinin	HORVU1Hr1G070290	HORVU1Hr1G070290	Predicted protein [Source:UniProtKB/TrEMBL;Acc:F2CPP2]	0.6457	0.437358	-0.0341	0.91891	0.0114	0.969698	-0.6683	0.166593
Glycolysis	HORVU1Hr1G070310	HORVU1Hr1G070310		0	NA	0.8096	0.748751	-0.8096	0.606531	0	NA
Brassinosteroid	HORVU1Hr1G070330	HORVU1Hr1G070330		-0.2883	0.39322	-0.2569	0.748751	-0.3152	0.327687	-0.2839	0.344214
ABA	HORVU1Hr1G070390	HORVU1Hr1G070390		0.0116	0.977813	0.4215	0.748751	-0.4787	0.47648	-0.0689	0.806235
ROS_Scavenging	HORVU1Hr1G070400	HORVU1Hr1G070400		0.3204	0.670681	0	NA	0.3204	0.606531	0	NA
Transcription	HORVU1Hr1G070410	HORVU1Hr1G070410		-0.0266	0.984673	-0.0303	0.986887	-0.3938	0.607087	-0.3975	0.724289
ABA	HORVU1Hr1G070420	HORVU1Hr1G070420		-1.7284	0.35175	-2.4998	0.748751	1.7062	0.500689	0.9348	0.133648
Methionine	HORVU1Hr1G070430	HORVU1Hr1G070430		0.0606	0.670681	-0.1719	0.748751	0.1263	0.586756	-0.1062	0.452354
Translation	HORVU1Hr1G070440	HORVU1Hr1G070440		-0.1798	0.630796	-0.0618	0.908022	-0.3836	0.407201	-0.2656	0.47968
MAPK_Signalling	HORVU1Hr1G070480	HORVU1Hr1G070480		-1.5655	0.350106	0.3557	0.748751	0.9807	0.50045	2.902	0.133648
Protein_Kinase_Signalling	HORVU1Hr1G070580	HORVU1Hr1G070580		-0.4546	0.411674	1.543	0.748751	-2.0231	0.427858	-0.0255	0.952619
Cytokinin	HORVU1Hr1G070610	HORVU1Hr1G070610		0.1694	0.461057	-0.1278	0.748751	0.0345	0.601044	-0.2627	0.31207
ROS_Scavenging	HORVU1Hr1G070620	HORVU1Hr1G070620		0.0849	0.845212	0.132	0.748751	-0.2875	0.460549	-0.2405	0.45887
ROS_Scavenging	HORVU1Hr1G070640	HORVU1Hr1G070640	Predicted protein [Source:UniProtKB/TrEMBL;Acc:F2CU03]	-1.5752	0.368717	0.2042	0.93325	-2.0267	0.531796	-0.2473	0.763892
Cytokinin	HORVU1Hr1G070690	HORVU1Hr1G070690	Predicted protein [Source:UniProtKB/TrEMBL;Acc:F2DAA1]	0.4043	0.589865	2.2589	0.748751	-0.7986	0.430326	1.056	0.237191
IAA	HORVU1Hr1G070710	HORVU1Hr1G070710	Predicted protein [Source:UniProtKB/TrEMBL;Acc:F2DGT7]	-0.8961	0.51806	0.3131	0.775762	-1.0471	0.456895	0.1621	0.754061
ROS_Scavenging	HORVU1Hr1G070720	HORVU1Hr1G070720		-0.7184	0.457722	-0.5141	0.800837	0.421	0.642301	0.6253	0.495803
ROS_Scavenging	HORVU1Hr1G070730	HORVU1Hr1G070730		-0.222	0.670681	-0.1357	0.907429	0.2282	0.652453	0.3145	0.58482
Photosynthesis	HORVU1Hr1G070740	HORVU1Hr1G070740	UTP--glucose-1-phosphate uridylyltransferase 3, chloroplastic [Source:Projected from Arabidopsis thaliana (AT3G56040) UniProtKB/Swiss-Prot;Acc:F4IY62]	0.0746	0.885221	0.0066	0.986904	0.2343	0.606531	0.1664	0.405155
ABA	HORVU1Hr1G070840	HORVU1Hr1G070840		0.1922	0.743191	-0.8485	0.748751	1.3776	0.318757	0.3369	0.594677
Flavonoid	HORVU1Hr1G070960	HORVU1Hr1G070960		-0.3445	0.589865	-1.2027	0.748751	0.7976	0.428416	-0.0606	0.886819
ABA	HORVU1Hr1G071000	HORVU1Hr1G071000		-0.1704	0.504873	0.1959	0.872355	0.5455	0.514705	0.9118	0.107958
Flavonoid	HORVU1Hr1G071010	HORVU1Hr1G071010		-0.3932	0.59958	-0.7616	0.748751	0.1186	0.834071	-0.2498	0.332796
ABA	HORVU1Hr1G071060	HORVU1Hr1G071060		0.2703	0.669361	-0.215	0.757123	0.266	0.478773	-0.2192	0.644733
Cysteine	HORVU1Hr1G071130	HORVU1Hr1G071130		-0.0236	0.966657	-0.6868	0.748751	0.38	0.653226	-0.2832	0.701508
Jasmonate_JA	HORVU1Hr1G071150	HORVU1Hr1G071150	Predicted protein [Source:UniProtKB/TrEMBL;Acc:F2DYM1]	-0.2887	0.668738	0.2017	0.848263	-0.6329	0.547117	-0.1426	0.58482
Protein_Kinase_Signalling	HORVU1Hr1G071160	HORVU1Hr1G071160	Predicted protein [Source:UniProtKB/TrEMBL;Acc:F2CW98]	-0.0204	0.979805	-0.2412	0.748751	0.7473	0.505933	0.5265	0.2512
Cytokinin	HORVU1Hr1G071200	HORVU1Hr1G071200		-0.9189	0.292624	0.2148	0.858806	-1.0884	0.483811	0.0453	0.906153
Translation	HORVU1Hr1G071320	HORVU1Hr1G071320		-2.1797	0.633062	0.6477	0.874281	-2.6307	0.606531	0.1967	0.905554
MAPK_Signalling	HORVU1Hr1G071330	HORVU1Hr1G071330		-0.3257	0.643805	-0.3457	0.785467	-0.0094	0.977198	-0.0294	0.968359
ROS_Scavenging	HORVU1Hr1G071340	HORVU1Hr1G071340		0.152	0.87329	1.12	0.748751	-0.987	0.446346	-0.019	0.983985
Inositol	HORVU1Hr1G071440	HORVU1Hr1G071440		-0.7189	0.326586	-0.2785	0.748751	0.273	0.422959	0.7134	0.174264
Serine	HORVU1Hr1G071460	HORVU1Hr1G071460		-0.9623	0.420704	0.2958	0.872102	-0.9486	0.605383	0.3096	0.176296
ABA	HORVU1Hr1G071470	HORVU1Hr1G071470	Probable apyrase 7 [Source:Projected from Arabidopsis thaliana (AT4G19180) UniProtKB/Swiss-Prot;Acc:F4JSH1]	0.0105	0.973772	0.1195	0.834025	-0.1609	0.665048	-0.0518	0.79627
Cytokinin	HORVU1Hr1G071490	HORVU1Hr1G071490	GPN-loop GTPase 3 [Source:UniProtKB/TrEMBL;Acc:A0A287G5I5]	-0.1169	0.390206	-0.113	0.748751	0.1029	0.606531	0.1068	0.492561
RNA_Processing	HORVU1Hr1G071550	HORVU1Hr1G071550		-0.1307	0.932602	0.0648	0.966542	1.6547	0.520976	1.8502	0.325193
Cytokinin	HORVU1Hr1G071560	HORVU1Hr1G071560	Probable DNA helicase MCM8 [Source:Projected from Arabidopsis thaliana (AT3G09660) UniProtKB/Swiss-Prot;Acc:Q9SF37]	-0.8903	0.379816	-0.2138	0.895946	-0.5605	0.665886	0.116	0.736419
Ubiquitin_Proteasome	HORVU1Hr1G071580	HORVU1Hr1G071580		-0.4079	0.460669	-0.2314	0.748751	0.351	0.494645	0.5275	0.1892
Cytokinin	HORVU1Hr1G071590	HORVU1Hr1G071590		-0.1098	0.645989	-0.1545	0.748751	0.345	0.356522	0.3002	0.186005
Photosynthesis	HORVU1Hr1G071620	HORVU1Hr1G071620	Nuclear factor Y, subunit B1 [Source:Projected from Arabidopsis thaliana (AT2G38880) UniProtKB/TrEMBL;Acc:F4ITZ0]	0.0811	0.850534	0.9084	0.748751	-1.766	0.478773	-0.9388	0.277739
Cytokinin	HORVU1Hr1G071710	HORVU1Hr1G071710		-0.2313	0.400714	-0.2892	0.748751	0.1866	0.338072	0.1288	0.393391
Cytokinin	HORVU1Hr1G071780	HORVU1Hr1G071780		-0.2901	0.401093	-0.2144	0.748751	0.1817	0.464122	0.2574	0.144501
Cytokinin	HORVU1Hr1G071810	HORVU1Hr1G071810		1.3919	0.559659	0.6849	0.748751	-0.5978	0.499628	-1.3047	0.191547
Ubiquitin_Proteasome	HORVU1Hr1G071840	HORVU1Hr1G071840		-0.2205	0.746934	-0.0342	0.982064	-0.352	0.64423	-0.1657	0.818835
Photosynthesis	HORVU1Hr1G071890	HORVU1Hr1G071890	Phosphatidate phosphatase PAH1 [Source:Projected from Arabidopsis thaliana (AT3G09560) UniProtKB/Swiss-Prot;Acc:Q9SF47]	-0.4285	0.599943	0.1023	0.867083	-0.0784	0.854724	0.4524	0.437892
Cytokinin	HORVU1Hr1G071910	HORVU1Hr1G071910	Predicted protein [Source:UniProtKB/TrEMBL;Acc:F2DD06]	-0.5871	0.727794	-0.3172	0.844923	0.7986	0.441186	1.0685	0.56137
Cytokinin	HORVU1Hr1G071940	HORVU1Hr1G071940		-0.9218	0.670681	0	NA	0	NA	0.9218	0.58482
Transcription	HORVU1Hr1G072100	HORVU1Hr1G072100		1.2966	0.670681	4.7091	0.748751	-3.4125	0.581839	0	NA
MAPK_Signalling	HORVU1Hr1G072160	HORVU1Hr1G072160		-0.0405	0.985438	1.3569	0.748751	0.3725	0.827638	1.7699	0.488256
Fatty_Acid	HORVU1Hr1G072170	HORVU1Hr1G072170	Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase [Source:UniProtKB/TrEMBL;Acc:A0A287G688]	-0.3037	0.411017	-0.1065	0.748751	-0.3869	0.341659	-0.1897	0.331526
Vitamin_B2_Riboflavin	HORVU1Hr1G072180	HORVU1Hr1G072180		-0.0143	0.971495	-0.1532	0.785467	0.3693	0.476105	0.2304	0.53988
Vitamin_B2_Riboflavin	HORVU1Hr1G072190	HORVU1Hr1G072190	Histone H2B [Source:UniProtKB/TrEMBL;Acc:A0A287G6D0]	0.4856	0.670681	1.169	0.748751	-0.6835	0.62303	0	NA
Ubiquitin_Proteasome	HORVU1Hr1G072200	HORVU1Hr1G072200	Predicted protein [Source:UniProtKB/TrEMBL;Acc:F2CQ10]	-0.3774	0.332034	0.0189	0.962884	0.0879	0.69502	0.4842	0.112035
Lignin	HORVU1Hr1G072210	HORVU1Hr1G072210		0.5338	0.907418	8.1054	0.748751	-2.5801	0.509678	4.9915	0.58482
Lignin	HORVU1Hr1G072220	HORVU1Hr1G072220		-0.1947	0.711398	1.1035	0.748751	-1.0663	0.522127	0.2319	0.58482
ABA	HORVU1Hr1G072230	HORVU1Hr1G072230		-0.2507	0.913689	-2.2306	0.748751	2.1337	0.520976	0.1538	0.948527
Flavonoid	HORVU1Hr1G072250	HORVU1Hr1G072250	Predicted protein [Source:UniProtKB/TrEMBL;Acc:F2DC79]	-0.2169	0.670681	0.8201	0.748751	-0.3188	0.774749	0.7183	0.183766
ABA	HORVU1Hr1G072290	HORVU1Hr1G072290	Predicted protein [Source:UniProtKB/TrEMBL;Acc:F2CWV4]	0.3044	0.670681	0.1401	0.779193	-0.354	0.489795	-0.5183	0.400188
ROS_Scavenging	HORVU1Hr1G072310	HORVU1Hr1G072310		-0.0577	0.970915	0.0326	0.987707	0.5556	0.606531	0.6459	0.608782
