Pathway	GeneID	Symbol	Description	HL_vs_LL_1mM_log2FC	HL_vs_LL_1mM_padj	HL_vs_LL_10mM_log2FC	HL_vs_LL_10mM_padj	HighN_vs_LowN_HL_log2FC	HighN_vs_LowN_HL_padj	HighN_vs_LowN_LL_log2FC	HighN_vs_LowN_LL_padj
Transposon_Retrotransposon	Cz02g21020	ATMG00710	(1 of 1) PTHR42648:SF11 - TRANSPOSON TY4-P GAG-POL POLYPROTEIN	-0.2365	0.69302	0.6424	0.431211	-1.0167	0.104226	-1.8955	0.090742
RNA_Splicing	Cz02g21030	AT3G21000	(1 of 1) PTHR35317:SF35 - DUF4219 DOMAIN-CONTAINING PROTEIN	-0.1508	0.670857	0.3775	0.483917	-0.5156	0.181164	-1.0439	0.045155
RNA_Splicing	Cz02g21050	AT3G21000	(1 of 1) PTHR35317:SF35 - DUF4219 DOMAIN-CONTAINING PROTEIN	0.1277	0.512148	0.2887	0.381243	-0.4154	0.069002	-0.5764	0.042286
Serine	Cz02g21060	AT4G23160	(1 of 1) 2.7.11.1//2.7.7.49 - non-specific serine/threonine protein kinase. / threonine-specific protein kinase. // RNA-directed DNA polymerase. / revertase.	-0.1025	0.435025	0.4019	0.222216	-0.5786	0.021717	-1.0831	0.015487
Transposon_Retrotransposon	Cz02g21080	ATMG00710	(1 of 1) PTHR42648:SF11 - TRANSPOSON TY4-P GAG-POL POLYPROTEIN	9e-04	0.998541	0.7143	0.324452	-0.357	0.261261	-1.0703	0.108225
RNA_Splicing	Cz02g21100	AT3G21000	(1 of 1) PTHR35317:SF35 - DUF4219 DOMAIN-CONTAINING PROTEIN	-0.1529	0.641951	0.2216	0.635712	-0.5979	0.137875	-0.9723	0.040157
Transposon_Retrotransposon	Cz02g21110	ATMG00710	(1 of 1) PTHR42648:SF11 - TRANSPOSON TY4-P GAG-POL POLYPROTEIN	-0.5299	0.221622	0.7855	0.34692	-0.6827	0.092437	-1.9981	0.015487
Serine	Cz02g21120	AT4G23160	(1 of 1) 2.7.11.1//2.7.7.49 - non-specific serine/threonine protein kinase. / threonine-specific protein kinase. // RNA-directed DNA polymerase. / revertase.	-0.1512	0.454017	0.4351	0.142829	-0.4218	0.017151	-1.0081	0.046078
Serine	Cz02g21150	AT4G23160	(1 of 1) 2.7.11.1//2.7.7.49 - non-specific serine/threonine protein kinase. / threonine-specific protein kinase. // RNA-directed DNA polymerase. / revertase.	-0.1854	0.734616	1.763	0.197673	-0.4386	0.23157	-2.3869	0.082
Serine	Cz02g21160	AT4G23160	(1 of 1) 2.7.11.1//2.7.7.49 - non-specific serine/threonine protein kinase. / threonine-specific protein kinase. // RNA-directed DNA polymerase. / revertase.	-0.1506	0.692529	0.5673	0.200506	-1.0801	0.105296	-1.7979	0.012466
Serine	Cz02g21220	AT4G23160	(1 of 1) 2.7.11.1//2.7.7.49 - non-specific serine/threonine protein kinase. / threonine-specific protein kinase. // RNA-directed DNA polymerase. / revertase.	-0.2166	0.481403	0.3749	0.274483	-0.6106	0.090837	-1.2022	0.033393
Serine	Cz02g21230	AT4G23160	(1 of 1) 2.7.11.1//2.7.7.49 - non-specific serine/threonine protein kinase. / threonine-specific protein kinase. // RNA-directed DNA polymerase. / revertase.	-0.1274	0.744302	0.0601	0.808889	-0.3359	0.238079	-0.5234	0.157036
Serine	Cz02g21250	AT4G23160	(1 of 1) 2.7.11.1//2.7.7.49 - non-specific serine/threonine protein kinase. / threonine-specific protein kinase. // RNA-directed DNA polymerase. / revertase.	-0.0523	0.725834	0.3554	0.337165	-0.6895	0.025066	-1.0972	0.021912
Transposon_Retrotransposon	Cz02g21260	ATMG00710	(1 of 1) PTHR42648:SF11 - TRANSPOSON TY4-P GAG-POL POLYPROTEIN	0.0517	0.879603	0.7987	0.376504	-0.6492	0.125355	-1.3963	0.039925
Serine	Cz02g21270	AT4G23160	(1 of 1) 2.7.11.1//2.7.7.49 - non-specific serine/threonine protein kinase. / threonine-specific protein kinase. // RNA-directed DNA polymerase. / revertase.	0.45	0.419643	0.0839	0.832563	-1.1095	0.091388	-0.7435	0.042531
Protein_Methylation	Cz02g21310	AT2G31650	(1 of 1) PTHR13793:SF153 - HISTONE H3-LYSINE(4) N-TRIMETHYLTRANSFERASE ATX1	0.3248	0.337209	-0.4366	0.336886	-1.8656	0.018923	-1.1043	0.038322
Cytokinin	Cz02g21320	AT1G67110	(1 of 1) PTHR24282:SF195 - CYTOKININ HYDROXYLASE	-0.2192	0.707459	-0.6494	0.718952	0.5862	0.353379	1.0164	0.461173
Ubiquitin_Proteasome	Cz02g21330	AT5G15400	(1 of 1) K10597 - ubiquitin conjugation factor E4 B (UBE4B, UFD2)	0.1951	0.307265	0.2148	0.390921	-0.5153	0.018137	-0.535	0.040408
Redox_Metabolism	Cz02g21340	AT1G53240	(1 of 2) PTHR11540:SF58 - MALATE DEHYDROGENASE 1, MITOCHONDRIAL-RELATED	0.1653	0.238322	0.1843	0.256186	-0.0884	0.16095	-0.1074	0.228484
RNA_Degradation	Cz02g21400	AT1G76630	(1 of 1) K12600 - superkiller protein 3 (SKI3, TTC37)	0.2215	0.277897	0.0127	0.968229	-0.9807	0.007854	-0.7718	0.027984
Nuclear_Transport	Cz02g21420	AT4G27640	(1 of 1) PTHR10527:SF6 - IMPORTIN-4	-0.0946	0.654887	0.1813	0.259249	0.0215	0.876623	-0.2545	0.1046
RNA_Splicing	Cz02g22030	AT5G64270	(1 of 1) K12828 - splicing factor 3B subunit 1 (SF3B1, SAP155)	0.1208	0.296717	0.0493	0.827531	-0.8802	0.013281	-0.8088	0.016693
Translation	Cz02g22040	AT1G33120	(1 of 3) K02940 - large subunit ribosomal protein L9e (RP-L9e, RPL9)	-0.1187	0.397063	0.2721	0.212803	0.3006	0.078422	-0.0903	0.387108
Chaperone	Cz02g22050	AT2G26890	(1 of 1) K09533 - DnaJ homolog subfamily C member 13 (DNAJC13)	0.4471	0.306715	0.127	0.704228	-1.759	0.016277	-1.4389	0.06675
RNA_Processing	Cz02g22060	AT3G01540	(1 of 1) PTHR47958:SF92 - DEAD-BOX ATP-DEPENDENT RNA HELICASE 14	0.0664	0.402077	0.3141	0.136067	-0.0771	0.318188	-0.3248	0.045492
Protein_Proteolysis	Cz02g22090	AT1G02560	(1 of 1) PTHR10381:SF12 - ATP-DEPENDENT CLP PROTEASE PROTEOLYTIC SUBUNIT 5, CHLOROPLASTIC	-0.0239	0.802439	0.3971	0.154854	0.5018	0.026088	0.0808	0.264826
mRNA_3_Processing	Cz02g22100	AT1G30460	(1 of 1) PTHR12357:SF119//PTHR23102:SF24 - 30-KDA CLEAVAGE AND POLYADENYLATION SPECIFICITY FACTOR 30 // CLEAVAGE AND POLYADENYLATION SPECIFICITY FACTOR SUBUNIT 4	-0.0014	0.97308	-0.173	0.443374	-0.8661	0.020869	-0.6945	0.00836
RNA_Processing	Cz02g22140	AT1G27900	(1 of 1) PTHR18934:SF234 - ATP-DEPENDENT RNA HELICASE DHX40-RELATED	0.0359	0.546834	0.1005	0.458402	-0.3539	0.011947	-0.4185	0.035322
Starch	Cz02g22150	AT5G24300	(1 of 1) PTHR45825:SF11 - STARCH SYNTHASE 1, CHLOROPLASTIC_AMYLOPLASTIC	0.1482	0.439161	0.0181	0.864097	-0.1004	0.203172	0.0298	0.798808
Auxin_IAA	Cz02g23020	AT5G43890	(1 of 1) PTHR43539:SF74 - INDOLE-3-PYRUVATE MONOOXYGENASE YUCCA5-RELATED	0.2367	0.405346	0.2646	0.191278	-0.5512	0.011524	-0.5791	0.111204
Cytochrome_P450	Cz02g23030	AT4G12310	(1 of 3) PTHR47951:SF3 - CYTOCHROME P450, FAMILY 706, SUBFAMILY A, POLYPEPTIDE 4	0.1538	0.545887	-0.2216	0.5808	-2.0149	0.007667	-1.6396	0.041753
Transcription	Cz02g23080	AT1G43700	(1 of 2) PTHR13690:SF86 - TRANSCRIPTION FACTOR VIP1	-0.0786	0.638914	-0.1468	0.609756	-0.0538	0.784838	0.0143	0.854683
Cytoskeleton	Cz02g23110	AT3G54870	(1 of 1) PTHR47970:SF6 - KINESIN-LIKE PROTEIN	1.4348	0.604144	-2.8298	0.644473	-4.2569	0.295606	0.0077	0.997233
tRNA_Modification	Cz02g23160	AT1G22270	(1 of 1) PTHR12773:SF0 - TRM112-LIKE PROTEIN	-0.1304	0.354425	0.2198	0.146307	0.5094	0.016808	0.1592	0.115744
mRNA_3_Processing	Cz02g23170	AT1G61010	(1 of 1) K14403 - cleavage and polyadenylation specificity factor subunit 3 (CPSF3, YSH1)	0.0765	0.411733	0.1412	0.152058	-0.2133	0.064656	-0.278	0.021371
Serine	Cz02g24010	AT4G36980	(1 of 1) K13168 - splicing factor, arginine/serine-rich 16 (SFRS16)	0.1323	0.571702	0.0794	0.86909	-0.6106	0.052136	-0.5577	0.092353
Peroxisome_Biogenesis	Cz02g24020	AT5G19750	(1 of 1) PTHR11266:SF80 - PEROXISOMAL MEMBRANE PROTEIN 2	-0.4399	0.194916	0.1282	0.870626	-0.3217	0.149802	-0.8897	0.124768
Translation	Cz02g24040	AT1G48830	(1 of 1) PTHR11278:SF0 - 40S RIBOSOMAL PROTEIN S7	-0.0165	0.895681	0.2294	0.259944	0.1183	0.289774	-0.1276	0.269081
mRNA_Export	Cz02g24070	AT2G19430	(1 of 1) K13175 - THO complex subunit 6 (THOC6)	0.1655	0.448871	-0.5753	0.397635	-0.633	0.19012	0.1077	0.643571
Translation	Cz02g24100	AT5G04800	(1 of 1) PTHR10732:SF24 - 40S RIBOSOMAL PROTEIN S17-4	-0.1407	0.360091	0.2196	0.399664	0.3213	0.033447	-0.039	0.81401
Translation	Cz02g24110	AT3G57290	(1 of 1) K03250 - translation initiation factor 3 subunit E (EIF3E, INT6)	-0.0793	0.700876	0.2187	0.251175	-0.1297	0.361462	-0.4278	0.067409
Cysteine	Cz02g24140	AT2G21430	(1 of 1) PTHR12411:SF927 - CYSTEINE PROTEASE RD19B-RELATED	0.0869	0.39219	-0.4931	0.200506	-1.6953	0.007727	-1.1153	0.016473
Leucine	Cz02g24170	AT4G09430	(1 of 2) IPR000157//IPR002182//IPR027417//IPR032675//IPR035897//IPR036390//IPR042197 - Toll/interleukin-1 receptor homology (TIR) domain // NB-ARC // P-loop containing nucleoside triphosphate hydrolase // Leucine-rich repeat domain superfamily // Toll/interleukin-1 receptor homology (TIR) domain superfamily // Winged helix DNA-binding domain superfamily // Apoptotic protease-activating factors, helical domain	0.5986	0.267549	-0.1298	0.541394	-1.4852	0.040845	-0.7569	0.024941
Protein_Kinase_Signalling	Cz02g24180	AT4G35310	(1 of 1) PTHR24349:SF340 - CALCIUM-DEPENDENT PROTEIN KINASE 5	0.1252	0.340535	-0.0807	0.746896	-0.3677	0.091647	-0.1618	0.098872
Protein_Kinase_Signalling	Cz02g24200	AT4G33950	(1 of 1) PTHR24343:SF509 - SERINE_THREONINE-PROTEIN KINASE SRK2E	-0.1584	0.349296	0.0169	0.913848	-0.0822	0.47747	-0.2575	0.040612
Proline	Cz02g24220	AT2G36130	(1 of 1) K12733 - peptidyl-prolyl cis-trans isomerase-like 1 (PPIL1)	0.1436	0.336555	0.309	0.157896	0.2945	0.03216	0.129	0.293744
Redox_Metabolism	Cz02g24230	AT3G27060	(1 of 2) 1.17.4.1//1.17.4.2 - ribonucleoside-diphosphate reductase. / ribonucleotide reductase. // ribonucleoside-triphosphate reductase (thioredoxin). / ribonucleotide reductase.	0.8242	0.29368	-0.9939	0.140981	-3.8376	0.046346	-2.0195	0.078206
Lipid_Hydrolase	Cz02g24260	AT2G15230	(1 of 1) K01052 - lysosomal acid lipase/cholesteryl ester hydrolase (LIPA)	0.2358	0.423972	0.0655	0.761123	-0.3167	0.136454	-0.1464	0.419077
One_Carbon_Metabolism	Cz02g24270	AT4G25080	(1 of 1) 2.1.1.11 - magnesium protoporphyrin IX methyltransferase. / S-adenosylmethionine-magnesium protoporphyrin methyltransferase.	-0.5695	0.188718	-0.515	0.184472	1.4411	0.013207	1.3867	0.039002
Protein_Kinase_Signalling	Cz02g25020	AT2G45490	(1 of 1) PTHR24350:SF25 - SERINE_THREONINE-PROTEIN KINASE AURORA-3	-0.1939	0.757437	-0.5704	0.826056	0.0799	0.936758	0.4564	0.758416
Cysteine	Cz02g25050	AT1G08490	(1 of 1) 2.8.1.7//4.4.1.16 - cysteine desulfurase. / cysteine desulfurylase. // selenocysteine lyase. / selenocysteine reductase.	-0.3855	0.86442	-1.7636	0.644473	-4.4636	0.247243	-3.0854	0.365887
Protein_Proteolysis	Cz02g25060	AT5G42270	(1 of 2) PTHR23076:SF97 - ATP-DEPENDENT ZINC METALLOPROTEASE FTSH 2, CHLOROPLASTIC-RELATED	0.5112	0.196903	0.7597	0.146307	-0.3486	0.080668	-0.5971	0.034174
Aquaporin	Cz02g25070	AT3G02820	(1 of 1) K10904 - TIMELESS-interacting protein (TIPIN)	0.545	0.315384	-0.498	0.483361	-2.2906	0.032463	-1.2476	0.08902
Mitochondrial_Import	Cz02g25090	AT2G37410	(1 of 2) K17795 - mitochondrial import inner membrane translocase subunit TIM17 (TIM17)	-0.0696	0.683472	0.3247	0.212239	0.0404	0.740588	-0.354	0.084187
Protein_Proteolysis	Cz02g25180	AT4G15880	(1 of 3) K08592 - sentrin-specific protease 1 [EC:3.4.22.68] (SENP1)	0.7728	0.252855	-0.4134	0.755036	-3.6773	0.022994	-2.4912	0.044738
Chloroplast_Function	Cz02g25250	AT5G17520	(1 of 2) PTHR34809:SF1 - MALTOSE EXCESS PROTEIN 1, CHLOROPLASTIC-RELATED	0.0226	0.931435	-0.0572	0.822412	-0.9232	0.012879	-0.8434	0.078902
Cysteine	Cz02g25290	AT3G59950	(1 of 1) PTHR22624:SF54 - CYSTEINE PROTEASE ATG4B	0.2871	0.295966	0.0161	0.902924	-0.5975	0.036003	-0.3265	0.09556
RNA_Degradation	Cz02g25300	AT5G02250	(1 of 1) PTHR23355:SF42 - EXORIBONUCLEASE II, MITOCHONDRIAL	0.111	0.318751	0.1679	0.350207	0.1124	0.286883	0.0555	0.365807
Ubiquitin_Proteasome	Cz02g26010	AT3G20630	(1 of 1) K11836 - ubiquitin carboxyl-terminal hydrolase 5/13 [EC:3.4.19.12] (USP5_13, UBP14)	0.0893	0.670093	0.1683	0.244283	-0.1782	0.251653	-0.2572	0.128505
Cysteine	Cz02g26030	AT3G48350	(1 of 1) PTHR12411:SF622 - KDEL-TAILED CYSTEINE ENDOPEPTIDASE CEP3	0.12	0.42046	0.2502	0.529148	-1.02	0.012335	-1.1502	0.021148
Proline	Cz02g26040	AT5G66060	(1 of 1) PTHR10869:SF123 - PROLYL 4-HYDROXYLASE 10-RELATED	0.1097	0.393358	-0.0574	0.745315	0.0706	0.430516	0.2377	0.126024
Ubiquitin_Proteasome	Cz02g26090	AT2G32950	(1 of 1) PTHR44080:SF7 - E3 UBIQUITIN-PROTEIN LIGASE COP1	0.0906	0.426592	0.2131	0.244768	-0.2959	0.039072	-0.4184	0.027304
Transcription	Cz02g26120	AT2G01060	(1 of 1) PTHR31314:SF5 - MYB-LIKE HTH TRANSCRIPTIONAL REGULATOR FAMILY PROTEIN-RELATED	-0.0346	0.752795	-0.1681	0.301464	0.0186	0.843105	0.1521	0.125384
Starch	Cz02g26180	AT5G01260	(1 of 2) 2.7.9.5 - phosphoglucan, water dikinase. / phosphoglucan, water dikinase.	0.9952	0.264371	-0.4016	0.426481	-2.1863	0.050054	-0.7896	0.152096
RNA_Processing	Cz02g27010	ATMG00860	(1 of 1) PTHR45643:SF7 - REVERSE TRANSCRIPTASE RNASE H-LIKE DOMAIN-CONTAINING PROTEIN	0.1124	0.733926	-0.0783	0.834301	-0.6729	0.029784	-0.4822	0.198658
One_Carbon_Metabolism	Cz02g27030	AT2G19870	(1 of 1) 2.1.1.185 - 23S rRNA (guanosine(2251)-2'-O)-methyltransferase. / 23S rRNA (guanosine(2251)-2'-O)-methyltransferase.	-0.0649	0.447379	0.1539	0.376519	0.3915	0.069806	0.1727	0.055764
RNA_Splicing	Cz02g27040	AT2G20110	(1 of 2) PTHR12446:SF34 - PROTEIN LIN-54 HOMOLOG-RELATED	0.1167	0.559992	-0.2343	0.677151	-1.5497	0.007892	-1.1987	0.028307
ABC_Transporter	Cz02g27050	AT4G25750	(1 of 1) PTHR48041:SF9 - ABC TRANSPORTER G FAMILY MEMBER 4	0.2614	0.604144	0.2422	0.6003	-0.5969	0.200357	-0.5778	0.06171
ATP_Synthase	Cz02g27060	AT4G32260	(1 of 1) PTHR33445:SF2 - ATP SYNTHASE SUBUNIT B'	-0.3652	0.259276	-0.0308	0.869316	1.0493	0.01955	0.7149	0.028752
Chloroplast_Function	Cz02g27070	AT1G54870	(1 of 1) PTHR48107:SF16 - NADPH-DEPENDENT ALDEHYDE REDUCTASE 1, CHLOROPLASTIC	0.5797	0.352285	0.3836	0.494945	-0.247	0.441875	-0.0509	0.899913
TCA_Cycle	Cz02g27080	AT3G58750	(1 of 2) PTHR11739:SF27 - CITRATE SYNTHASE 1, PEROXISOMAL-RELATED	0.2104	0.330533	-0.0755	0.7935	-0.257	0.220176	0.0289	0.799205
Chloroplast_Function	Cz02g27090	AT3G06730	(1 of 1) PTHR47834:SF2 - THIOREDOXIN-LIKE PROTEIN CITRX, CHLOROPLASTIC	0.1808	0.42944	0.2465	0.256997	-0.0832	0.514784	-0.1489	0.353693
Inositol	Cz02g27120	AT5G17670	(1 of 1) PTHR47909:SF2 - GPI INOSITOL-DEACYLASE	-0.1402	0.399517	0.2277	0.146307	0.3082	0.022576	-0.0597	0.52717
Thioredoxin_Peroxiredoxin	Cz02g27170	AT2G18990	(1 of 2) PTHR21148:SF11 - THIOREDOXIN DOMAIN-CONTAINING PROTEIN 9	0.3273	0.256124	-0.4827	0.27161	-1.727	0.014006	-0.917	0.024057
Nuclear_Transport	Cz02g27180	AT5G53480	(1 of 1) PTHR10527:SF1 - IMPORTIN SUBUNIT BETA-1	0.0864	0.417583	0.0567	0.76362	-0.5743	0.013281	-0.5446	0.026185
ABC_Transporter	Cz02g27230	AT1G31770	(1 of 1) PTHR48041:SF111 - ABC TRANSPORTER G FAMILY MEMBER 14	-0.0296	0.546449	0.2881	0.263133	-0.3027	0.01948	-0.6204	0.051621
Starch	Cz02g27260	AT5G01260	(1 of 2) 2.7.9.5 - phosphoglucan, water dikinase. / phosphoglucan, water dikinase.	0.0837	0.684281	-0.214	0.709003	-3.2282	0.018597	-2.9305	0.016383
Phosphate_Transport	Cz02g28040	AT3G47420	(1 of 1) PTHR43184:SF15 - GLYCEROL-3-PHOSPHATE TRANSPORTER 1-RELATED	-0.011	0.877194	-0.1308	0.474961	-0.6535	0.018274	-0.5338	0.021416
Vesicle_Trafficking	Cz02g28050	AT4G17790	(1 of 1) PTHR43220:SF7 - SNARE ASSOCIATED GOLGI PROTEIN FAMILY	0.0357	0.822897	-0.3971	0.262878	-0.3908	0.101142	0.042	0.601282
DNA_Damage_Checkpoint	Cz02g28080	AT5G22010	(1 of 1) K10754 - replication factor C subunit 1 (RFC1)	0.2496	0.281344	0.074	0.773819	-0.7322	0.026035	-0.5566	0.038909
Protein_Phosphatase_Signalling	Cz02g28110	AT4G10050	(1 of 1) 3.1.1.89 - protein phosphatase methylesterase-1. / protein phosphatase methylesterase-1.	0.072	0.441319	-0.0302	0.767441	-0.2941	0.031892	-0.1919	0.069835
Protein_Kinase_Signalling	Cz02g28230	AT1G60800	(1 of 1) PTHR47988:SF2 - PROTEIN NSP-INTERACTING KINASE 3	-0.611	0.319723	-0.7025	0.121758	-1.6761	0.096489	-1.5847	0.055027
Chloroplast_Function	Cz02g29010	AT5G19370	(1 of 1) PTHR43629:SF2 - RHODANESE-LIKE_PPIC DOMAIN-CONTAINING PROTEIN 12, CHLOROPLASTIC	-0.0329	0.894343	0.1913	0.57515	0.2513	0.204807	0.0271	0.904739
Sterol_Lipid_Metabolism	Cz02g29020	AT3G51970	(1 of 1) PTHR31595:SF46 - ACYL-COA--STEROL O-ACYLTRANSFERASE 1	0.5628	0.219092	0.7609	0.123002	-0.4938	0.015742	-0.6918	0.058364
Phosphate_Transport	Cz02g29050	AT3G47420	(1 of 1) PTHR43184:SF15 - GLYCEROL-3-PHOSPHATE TRANSPORTER 1-RELATED	0.2321	0.345993	0.0181	0.955208	-0.5837	0.040442	-0.3697	0.060309
Ubiquitin_Proteasome	Cz02g29060	AT4G03510	(1 of 1) PTHR12313:SF59 - E3 UBIQUITIN-PROTEIN LIGASE RMA1	0.3473	0.43041	0.1034	0.681419	-0.7243	0.111085	-0.4804	0.05332
Lipid_Hydrolase	Cz02g29090	AT5G14180	(1 of 1) PTHR11005:SF99 - TRIACYLGLYCEROL LIPASE 2	-0.4598	0.258132	-0.7237	0.111225	1.1354	0.034664	1.3993	0.028936
Lipid_Hydrolase	Cz02g29100	AT5G14180	(1 of 1) PTHR11005:SF99 - TRIACYLGLYCEROL LIPASE 2	-0.3257	0.296801	-0.7323	0.178581	1.2718	0.083903	1.6784	0.021513
RNA_Splicing	Cz02g29170	AT3G54170	(1 of 1) PTHR15217:SF0 - PRE-MRNA-SPLICING REGULATOR WTAP	0.0411	0.678131	0.0277	0.939483	-0.6596	0.026788	-0.6463	0.046479
Brassinosteroid	Cz02g29190	AT5G06290	(1 of 1) PTHR10681:SF175 - 2-CYS PEROXIREDOXIN BAS1-LIKE, CHLOROPLASTIC	0.0926	0.414563	0.4714	0.093813	0.0238	0.644579	-0.355	0.046567
RNA_Processing	Cz02g29270	AT2G06990	(1 of 1) PTHR12131:SF32 - DEXH-BOX ATP-DEPENDENT RNA HELICASE DEXH10	0.0213	0.918326	0.3913	0.242964	-0.4251	0.070477	-0.795	0.023121
RNA_Processing	Cz02g30010	AT2G06990	(1 of 1) PTHR12131:SF32 - DEXH-BOX ATP-DEPENDENT RNA HELICASE DEXH10	0.081	0.663771	-0.0674	0.867414	-0.7524	0.022221	-0.604	0.057414
RNA_Processing	Cz02g30020	AT2G06990	(1 of 1) PTHR12131:SF32 - DEXH-BOX ATP-DEPENDENT RNA HELICASE DEXH10	0.1918	0.320702	0.0587	0.774177	-0.6674	0.031167	-0.5343	0.038506
Chloroplast_Function	Cz02g30030	AT4G36910	(1 of 1) PTHR48108:SF6 - CBS DOMAIN-CONTAINING PROTEIN CBSX1, CHLOROPLASTIC	0.5545	0.773512	-4.7236	0.644473	-5.6244	0.257014	-0.3463	0.855756
Flowering_Time	Cz02g30140	AT1G65480	(1 of 2) K16223 - protein FLOWERING LOCUS T (FT)	3.9989	0.615381	0.3461	0.931031	-0.7218	0.779036	2.931	0.490096
Chloroplast_Function	Cz02g30150	AT1G54870	(1 of 1) PTHR48107:SF16 - NADPH-DEPENDENT ALDEHYDE REDUCTASE 1, CHLOROPLASTIC	-0.1452	0.907954	0.5273	0.547083	-0.3705	0.473453	-1.0431	0.391605
Sugar_Transport	Cz02g30160	AT4G25010	(1 of 1) PTHR10791:SF122 - BIDIRECTIONAL SUGAR TRANSPORTER SWEET14	0.3694	0.315149	0.3676	0.146056	-0.4861	0.084615	-0.4842	0.027666
Tryptophan	Cz02g30180	AT1G07780	(1 of 3) 5.3.1.24 - phosphoribosylanthranilate isomerase. / PRAI.	0.0262	0.881311	0.3635	0.147149	0.4073	0.026398	0.0699	0.588053
Translation_Elongation	Cz02g30200	AT4G29060	(1 of 1) K02357 - elongation factor Ts (tsf, TSFM)	-0.0697	0.529425	0.3272	0.113425	0.3277	0.036342	-0.0692	0.389948
Translation_Elongation	Cz02g30210	AT4G29060	(1 of 1) K02357 - elongation factor Ts (tsf, TSFM)	-0.1422	0.472267	0.4043	0.195478	0.156	0.30656	-0.3905	0.073518
Meiosis_Recombination	Cz02g30220	AT2G17280	(1 of 1) PTHR48100:SF63 - PHOSPHOGLYCERATE MUTASE-LIKE PROTEIN	0.3037	0.363919	-0.0247	0.90139	-0.8306	0.032786	-0.5022	0.131143
Ubiquitin_Proteasome	Cz02g30250	AT5G15400	(1 of 1) K10597 - ubiquitin conjugation factor E4 B (UBE4B, UFD2)	-0.161	0.353747	0.6591	0.301464	-0.1739	0.493832	-0.994	0.019444
Proline	Cz02g30270	AT2G29570	(1 of 2) K04802 - proliferating cell nuclear antigen (PCNA)	0.3981	0.162576	0.4079	0.166033	-0.3424	0.045669	-0.3523	0.08274
Programmed_Cell_Death	Cz02g31030	AT1G02170	(1 of 1) PTHR48104:SF51 - METACASPASE-1	0.0227	0.839827	0.3471	0.195666	-0.038	0.34973	-0.3624	0.063947
Programmed_Cell_Death	Cz02g31040	AT4G25110	(1 of 1) PTHR48104:SF6 - METACASPASE-2	0.0791	0.754742	0.3471	0.095456	-0.065	0.573662	-0.333	0.189705
Vesicle_Trafficking	Cz02g31050	AT4G19640	(1 of 2) K07889 - Ras-related protein Rab-5C (RAB5C)	0.1731	0.484214	0.0339	0.894513	-0.5479	0.053585	-0.4087	0.103752
Mediator_Complex	Cz02g31060	AT3G01435	(1 of 1) K15131 - mediator of RNA polymerase II transcription subunit 11 (MED11)	0.1179	0.435025	0.3126	0.093318	0.0177	0.670178	-0.1771	0.174432
Terpenoid	Cz02g31110	AT2G34630	(1 of 1) 2.5.1.1//2.5.1.85 - dimethylallyltranstransferase. / prenyltransferase. // all-trans-nonaprenyl-diphosphate synthase [geranylgeranyl-diphosphate / solanesyl diphosphate synthase.	0.1416	0.30381	0.2349	0.170452	-0.3335	0.023835	-0.4268	0.02565
Protein_Kinase_Signalling	Cz02g31160	AT3G06400	(1 of 1) 2.7.11.17//3.6.4.12 - calcium/calmodulin-dependent protein kinase. / microtubule-associated protein 2 kinase. // DNA helicase. / DNA helicase.	0.1174	0.542657	-0.0588	0.848113	-1.31	0.013832	-1.1337	0.023358
RNA_Polymerase	Cz02g31170	AT1G29370	(1 of 3) PTHR46445:SF3 - RNA POLYMERASE II DEGRADATION FACTOR-LIKE PROTEIN (DUF1296)-RELATED	-0.0755	0.637311	0.0626	0.862671	-0.2914	0.053557	-0.4296	0.125473
Nuclear_Transport	Cz02g31200	AT2G05120	(1 of 1) K14300 - nuclear pore complex protein Nup133 (NUP133)	0.2748	0.196903	0.0911	0.671718	-0.8866	0.012758	-0.7029	0.019114
RNA_Splicing	Cz02g31230	AT2G15310	(1 of 1) PTHR11711:SF352 - (RAPE) HYPOTHETICAL PROTEIN	1.0199	0.585473	0.2893	0.908496	-2.2083	0.27565	-1.4777	0.302642
Ubiquitin_Proteasome	Cz02g31240	AT5G19180	(1 of 1) K10686 - ubiquitin-activating enzyme E1 C (UBE1C, UBA3)	0.3799	0.241249	0.2939	0.190895	-0.2916	0.030697	-0.2056	0.201013
Translation_Elongation	Cz02g31260	AT1G56070	(1 of 2) K03234 - elongation factor 2 (EEF2)	-0.0387	0.736418	0.0699	0.455113	-0.0741	0.227126	-0.1828	0.121168
Translation_Elongation	Cz02g31270	AT1G56070	(1 of 2) K03234 - elongation factor 2 (EEF2)	-0.0469	0.773464	0.1818	0.374463	0.0353	0.766414	-0.1934	0.181081
Calcium_Signalling	Cz02g32030	AT3G10300	(1 of 1) PTHR46824:SF1 - CALCIUM-BINDING PROTEIN CML49-RELATED	0.1692	0.321385	-0.1559	0.712921	-0.2595	0.367677	0.0656	0.490096
Translation	Cz02g32050	AT4G20330	(1 of 2) K03137 - transcription initiation factor TFIIE subunit beta (TFIIE2, GTF2E2, TFA2)	0.0199	0.694529	0.2449	0.171705	0.1975	0.026599	-0.0275	0.73965
RNA_Splicing	Cz02g32080	AT4G25500	(1 of 1) PTHR23147:SF22//PTHR23147:SF270 - SERINE_ARGININE-RICH SPLICING FACTOR 2 // SERINE_ARGININE-RICH SPLICING FACTOR 3	0.1259	0.308123	0.2552	0.210432	-0.0801	0.401255	-0.2093	0.088116
