Pathway	GeneID	Symbol	Description	HL_vs_LL_1mM_log2FC	HL_vs_LL_1mM_padj	HL_vs_LL_10mM_log2FC	HL_vs_LL_10mM_padj	HighN_vs_LowN_HL_log2FC	HighN_vs_LowN_HL_padj	HighN_vs_LowN_LL_log2FC	HighN_vs_LowN_LL_padj
Chloroplast_Function	Cz12g07120	AT2G38330	(1 of 1) PTHR42893:SF46 - PROTEIN DETOXIFICATION 44, CHLOROPLASTIC	0.3423	0.232217	0.3453	0.279354	-0.1443	0.204336	-0.1473	0.446229
Protein_Proteolysis	Cz12g07140	AT3G14067	(1 of 1) PTHR10795:SF785 - SUBTILISIN-LIKE PROTEASE SBT1.4	-2.2539	0.615381	-1.5131	0.644473	0	NA	-0.7408	0.729132
Protein_Kinase_Signalling	Cz12g07150	AT2G45490	(1 of 1) PTHR24350:SF25 - SERINE_THREONINE-PROTEIN KINASE AURORA-3	-0.0918	0.271306	-0.1412	0.517757	0.0514	0.526133	0.1008	0.462995
Translation	Cz12g07160	AT5G39850	(1 of 1) PTHR11831:SF47 - 40S RIBOSOMAL PROTEIN S9-2	-0.1007	0.455791	0.237	0.151162	0.3336	0.0217	-0.0041	0.96478
Kinetochore_SAC	Cz12g07220	AT5G06590	(1 of 1) PTHR48118:SF1 - SPINDLE AND KINETOCHORE-ASSOCIATED PROTEIN 3	0.6117	0.325891	-1.9101	0.160891	-4.3722	0.041721	-1.8503	0.069241
Molybdenum_Cofactor	Cz12g08100	AT1G80310	(1 of 1) PTHR31970:SF9 - MOLYBDATE TRANSPORTER 2	0.0233	0.545739	0.2036	0.206998	-1.9875	0.003664	-2.1678	0.00082
Nitrogen_Assimilation	Cz12g08110	AT2G15620	(1 of 1) 1.7.7.1 - ferredoxin--nitrite reductase. / ferredoxin--nitrite reductase.	-0.0044	0.953211	0.2757	0.372343	-2.1729	0.005155	-2.453	0.008162
Aspartate	Cz12g08120	AT4G31880	(1 of 2) PTHR12663:SF3 - ASPARTYL BETA-HYDROXYLASE N-TERMINAL REGION DOMAIN-CONTAINING PROTEIN-RELATED	-0.112	0.338581	0.2226	0.28262	0.1211	0.182961	-0.2135	0.168712
Molybdenum_Cofactor	Cz12g08130	AT4G10100	(1 of 1) PTHR33359:SF1 - MOLYBDOPTERIN SYNTHASE SULFUR CARRIER SUBUNIT	0.1542	0.35327	-0.0059	0.988751	-0.3838	0.11943	-0.2237	0.324946
Histone_Modification	Cz12g08140	AT3G44680	(1 of 1) PTHR10625:SF13 - HISTONE DEACETYLASE HDAC1	0.2566	0.281361	0.0559	0.797862	-0.4823	0.036945	-0.2816	0.061244
Chloroplast_Function	Cz12g08150	AT4G04330	(1 of 1) PTHR33791:SF12 - CHAPERONIN-LIKE RBCX PROTEIN 1, CHLOROPLASTIC	0.1191	0.381195	0.3211	0.159669	0.214	0.104927	0.012	0.871586
Redox_Metabolism	Cz12g08230	AT1G60710	(1 of 6) 1.1.1.317 - perakine reductase. / perakine reductase.	0.5092	0.137172	0.21	0.337165	-0.8843	0.008965	-0.5852	0.029872
Meiosis_Recombination	Cz12g09030	AT5G18070	(1 of 1) 5.4.2.3 - phosphoacetylglucosamine mutase. / N-acetylglucosamine-phosphate mutase.	0.2219	0.293099	0.0045	0.971394	-0.6217	0.013281	-0.4044	0.071016
Ubiquinone_Biosynthesis	Cz12g09060	AT2G29990	(1 of 2) 1.6.5.9//1.6.99.3 - NADH:ubiquinone reductase (non-electrogenic). / ubiquinone reductase. // Deleted entry. / Deleted entry.	0.4304	0.216867	0.0882	0.692394	-0.9199	0.011683	-0.5776	0.040519
Seed_Storage_LEA	Cz12g09070	AT2G40170	(1 of 1) PTHR34671:SF9 - EM-LIKE PROTEIN GEA6	1.5561	0.232465	1.7918	0.1221	-2.5944	0.04569	-2.8301	0.079773
Cell_Cycle_Chromatin	Cz12g09100	AT3G48150	(1 of 1) K03355 - anaphase-promoting complex subunit 8 (APC8, CDC23)	0.3209	0.243389	0.1318	0.363821	-0.6355	0.007892	-0.4464	0.049098
Cell_Cycle_Chromatin	Cz12g09110	AT3G48150	(1 of 1) K03355 - anaphase-promoting complex subunit 8 (APC8, CDC23)	0.2545	0.245218	-0.0534	0.581726	-0.531	0.019159	-0.2231	0.077426
