og_id	c00	c01	c02	c03	c04	c05	c06	c07	c08	c09	c10	c11	c12	c13	c14	c15
37TCB	0.1313	0.1241	0.1477	0.1044	0.1426	0.1220	0.1423	0.3435	0.1157	0.1744	0.1215	0.0951	0.0087	0.1955	0.0548	0.4769
37TCC	2.1603	0.9306	0.7433	0.9549	0.2800	0.9116	0.7949	0.8330	0.7625	0.8376	1.8216	0.0607	0.1103	1.0333	0.0796	0.7913
37TCD	2.8336	1.7817	1.8461	1.6443	0.9034	1.8841	1.0091	2.0313	1.7643	1.8393	2.5233	0.4265	1.9174	2.0784	0.3834	0.6678
37TCE	2.6842	2.1467	2.2942	2.5762	1.2396	2.8365	2.7122	2.6455	2.1072	2.4344	2.8377	0.4371	2.3416	2.8428	0.7087	0.6969
37TCF	0.0726	0.0767	0.0542	0.0883	0.0956	0.1409	0.0247	0.0727	0.0933	0.1663	0.2190	0.0791	0.0027	0.2036	0.0067	0.0048
37TCG	0.0007	0.0018	0.0255	0.0048	0.6379	0.0410	0.0007	0.0480	0.0197	0.0426	0.0004	0.3070	0.2411	0.0008	0.0110	0.0384
37TCH	1.1725	0.7877	0.7403	1.3560	0.7426	1.9116	1.6223	1.4499	0.6634	1.2342	1.0482	0.4342	0.1871	1.5579	0.4636	0.4119
37TCI	2.2522	1.2542	1.1443	1.6518	0.6226	1.3199	1.6246	1.6642	1.3294	1.6208	1.9084	0.1589	0.5930	1.8337	0.5884	0.8444
37TCJ	0.5762	0.1573	0.1326	0.3647	0.1023	0.3895	0.1786	0.2681	0.1547	0.4366	0.5434	0.0019	0.0164	0.3516	0.0114	0.3966
37TCK	0.0763	0.0406	0.0458	0.1021	0.0359	0.0507	0.0244	0.1226	0.0533	0.0850	0.1323	0.0087	0.0000	0.0657	0.0096	0.0046
37TCM	0.1011	0.0622	0.1139	0.1108	0.1290	0.2081	0.0913	0.1647	0.0963	0.2294	0.1331	0.5792	0.0540	0.7052	0.0303	0.1160
37TCN	1.6609	0.8311	0.7867	0.8600	0.2787	0.8259	0.8186	1.0443	0.7151	0.6604	1.7493	0.1289	0.0543	0.8468	0.1529	0.3847
37TCP	1.3965	1.0957	0.4786	0.8135	0.2608	0.6951	0.4273	1.4367	0.7837	0.8680	1.1468	0.1808	0.0268	0.9885	0.2868	0.0135
37TCQ	0.9160	0.4669	0.5991	0.5516	0.2550	0.5900	0.3698	0.5270	0.5555	0.5496	0.7222	0.2611	0.2688	0.6256	0.0703	0.1594
37TCR	0.5857	0.5455	1.1380	0.5216	0.4982	0.6011	0.3758	1.6411	0.5636	0.7866	0.6134	0.3676	0.1314	0.5358	0.1640	0.3659
37TCS	0.6481	0.4747	0.2237	0.5508	0.2245	0.5262	0.6454	0.5096	0.3797	0.4398	0.5857	0.0252	0.0058	0.7041	0.5084	0.5151
37TCT	1.2936	1.4595	0.8485	1.2352	0.5722	1.2120	1.6304	1.1806	1.0989	1.5156	1.0868	0.1970	0.0567	1.5646	0.9189	0.4412
37TCU	0.2305	0.1251	0.0648	0.1360	0.0301	0.0993	0.0472	0.2804	0.1006	0.1996	0.2358	0.0414	0.0006	0.1944	0.0059	0.0118
37TCV	0.4607	1.1475	0.9704	0.7702	0.4211	0.7448	0.8147	0.7635	0.9722	0.7654	0.2370	0.1666	0.1555	0.6926	0.5811	0.4063
37TCW	1.3906	0.7305	0.5233	0.6724	0.2222	0.5314	0.4296	0.9783	0.6355	0.8409	0.8613	0.1220	0.0098	0.8093	0.1401	0.3228
37TCX	0.0188	0.0205	0.0328	0.0414	0.0324	0.0485	0.0106	0.0242	0.0434	0.0688	0.0428	0.0003	0.0007	0.0237	0.0016	0.0034
