experiment_accession	assay	gene_id	specificity_score	marker_gene_rank	expression_unit	expression_level	gene_name	assay_id
E-GEOD-62671	zeitgeber time 3	CHLRE_10g425251v5	NULL	NULL	tpms	2	Cre10.g425251	g6
E-GEOD-62671	zeitgeber time 6	CHLRE_10g425251v5	NULL	NULL	tpms	2	Cre10.g425251	g7
E-GEOD-62671	zeitgeber time 9	CHLRE_10g425251v5	NULL	NULL	tpms	3	Cre10.g425251	g8
E-GEOD-62671	zeitgeber time 0	CHLRE_10g455231v5	NULL	NULL	tpms	0.1	Cre10.g455231	g1
E-GEOD-62671	zeitgeber time 12	CHLRE_10g455231v5	0.2973	8	tpms	1	Cre10.g455231	g2
E-GEOD-62671	zeitgeber time 15	CHLRE_10g455231v5	NULL	NULL	tpms	0.4	Cre10.g455231	g3
E-GEOD-62671	zeitgeber time 18	CHLRE_10g455231v5	NULL	NULL	tpms	0.3	Cre10.g455231	g4
E-GEOD-62671	zeitgeber time 21	CHLRE_10g455231v5	NULL	NULL	tpms	0.1	Cre10.g455231	g5
E-GEOD-62671	zeitgeber time 3	CHLRE_10g455231v5	NULL	NULL	tpms	0.3	Cre10.g455231	g6
E-GEOD-62671	zeitgeber time 6	CHLRE_10g455231v5	NULL	NULL	tpms	0.3	Cre10.g455231	g7
E-GEOD-62671	zeitgeber time 9	CHLRE_10g455231v5	NULL	NULL	tpms	0.2	Cre10.g455231	g8
E-GEOD-62671	zeitgeber time 0	CHLRE_01g021800v5	NULL	NULL	tpms	0	Cre01.g021800	g1
E-GEOD-62671	zeitgeber time 12	CHLRE_01g021800v5	NULL	NULL	tpms	0.1	Cre01.g021800	g2
E-GEOD-62671	zeitgeber time 15	CHLRE_01g021800v5	NULL	NULL	tpms	0.1	Cre01.g021800	g3
E-GEOD-62671	zeitgeber time 18	CHLRE_01g021800v5	0.0742	1	tpms	2	Cre01.g021800	g4
E-GEOD-62671	zeitgeber time 21	CHLRE_01g021800v5	NULL	NULL	tpms	0	Cre01.g021800	g5
E-GEOD-62671	zeitgeber time 3	CHLRE_01g021800v5	NULL	NULL	tpms	0	Cre01.g021800	g6
E-GEOD-62671	zeitgeber time 6	CHLRE_01g021800v5	NULL	NULL	tpms	0	Cre01.g021800	g7
E-GEOD-62671	zeitgeber time 9	CHLRE_01g021800v5	NULL	NULL	tpms	0	Cre01.g021800	g8
E-GEOD-62671	zeitgeber time 0	CHLRE_06g309000v5	NULL	NULL	tpms	0.2	Cre06.g309000	g1
E-GEOD-62671	zeitgeber time 12	CHLRE_06g309000v5	NULL	NULL	tpms	0.2	Cre06.g309000	g2
E-GEOD-62671	zeitgeber time 15	CHLRE_06g309000v5	NULL	NULL	tpms	0.7	Cre06.g309000	g3
E-GEOD-62671	zeitgeber time 18	CHLRE_06g309000v5	0.1566	2	tpms	6	Cre06.g309000	g4
E-GEOD-62671	zeitgeber time 21	CHLRE_06g309000v5	NULL	NULL	tpms	0.9	Cre06.g309000	g5
E-GEOD-62671	zeitgeber time 3	CHLRE_06g309000v5	NULL	NULL	tpms	0.3	Cre06.g309000	g6
E-GEOD-62671	zeitgeber time 6	CHLRE_06g309000v5	NULL	NULL	tpms	0.1	Cre06.g309000	g7
E-GEOD-62671	zeitgeber time 9	CHLRE_06g309000v5	NULL	NULL	tpms	0.1	Cre06.g309000	g8
E-GEOD-62671	zeitgeber time 0	CHLRE_10g422300v5	NULL	NULL	tpms	30	Cre10.g422300	g1
E-GEOD-62671	zeitgeber time 12	CHLRE_10g422300v5	NULL	NULL	tpms	1	Cre10.g422300	g2
E-GEOD-62671	zeitgeber time 15	CHLRE_10g422300v5	NULL	NULL	tpms	33	Cre10.g422300	g3
E-GEOD-62671	zeitgeber time 18	CHLRE_10g422300v5	0.185	3	tpms	186	Cre10.g422300	g4
E-GEOD-62671	zeitgeber time 21	CHLRE_10g422300v5	NULL	NULL	tpms	34	Cre10.g422300	g5
E-GEOD-62671	zeitgeber time 3	CHLRE_10g422300v5	NULL	NULL	tpms	13	Cre10.g422300	g6
E-GEOD-62671	zeitgeber time 6	CHLRE_10g422300v5	NULL	NULL	tpms	4	Cre10.g422300	g7
E-GEOD-62671	zeitgeber time 9	CHLRE_10g422300v5	NULL	NULL	tpms	4	Cre10.g422300	g8
E-GEOD-62671	zeitgeber time 0	CHLRE_16g694809v5	NULL	NULL	tpms	0.4	Cre16.g694809	g1
E-GEOD-62671	zeitgeber time 12	CHLRE_16g694809v5	NULL	NULL	tpms	0.3	Cre16.g694809	g2
E-GEOD-62671	zeitgeber time 15	CHLRE_16g694809v5	NULL	NULL	tpms	0.4	Cre16.g694809	g3
E-GEOD-62671	zeitgeber time 18	CHLRE_16g694809v5	0.1864	4	tpms	2	Cre16.g694809	g4
E-GEOD-62671	zeitgeber time 21	CHLRE_16g694809v5	NULL	NULL	tpms	0.3	Cre16.g694809	g5
E-GEOD-62671	zeitgeber time 3	CHLRE_16g694809v5	NULL	NULL	tpms	0.4	Cre16.g694809	g6
E-GEOD-62671	zeitgeber time 6	CHLRE_16g694809v5	NULL	NULL	tpms	0.1	Cre16.g694809	g7
E-GEOD-62671	zeitgeber time 9	CHLRE_16g694809v5	NULL	NULL	tpms	0.1	Cre16.g694809	g8
E-GEOD-62671	zeitgeber time 0	CHLRE_12g492650v5	NULL	NULL	tpms	3	Cre12.g492650	g1
E-GEOD-62671	zeitgeber time 12	CHLRE_12g492650v5	NULL	NULL	tpms	0.6	Cre12.g492650	g2
E-GEOD-62671	zeitgeber time 15	CHLRE_12g492650v5	NULL	NULL	tpms	1	Cre12.g492650	g3
E-GEOD-62671	zeitgeber time 18	CHLRE_12g492650v5	0.1899	5	tpms	25	Cre12.g492650	g4
E-GEOD-62671	zeitgeber time 21	CHLRE_12g492650v5	NULL	NULL	tpms	2	Cre12.g492650	g5
E-GEOD-62671	zeitgeber time 3	CHLRE_12g492650v5	NULL	NULL	tpms	3	Cre12.g492650	g6
E-GEOD-62671	zeitgeber time 6	CHLRE_12g492650v5	NULL	NULL	tpms	2	Cre12.g492650	g7
E-GEOD-62671	zeitgeber time 9	CHLRE_12g492650v5	NULL	NULL	tpms	5	Cre12.g492650	g8
E-GEOD-62671	zeitgeber time 0	CHLRE_08g384650v5	NULL	NULL	tpms	2	Cre08.g384650	g1
E-GEOD-62671	zeitgeber time 12	CHLRE_08g384650v5	NULL	NULL	tpms	0.5	Cre08.g384650	g2
E-GEOD-62671	zeitgeber time 15	CHLRE_08g384650v5	NULL	NULL	tpms	3	Cre08.g384650	g3
E-GEOD-62671	zeitgeber time 18	CHLRE_08g384650v5	0.2166	6	tpms	26	Cre08.g384650	g4
E-GEOD-62671	zeitgeber time 21	CHLRE_08g384650v5	NULL	NULL	tpms	6	Cre08.g384650	g5
E-GEOD-62671	zeitgeber time 3	CHLRE_08g384650v5	NULL	NULL	tpms	0.3	Cre08.g384650	g6
E-GEOD-62671	zeitgeber time 6	CHLRE_08g384650v5	NULL	NULL	tpms	0.7	Cre08.g384650	g7
E-GEOD-62671	zeitgeber time 9	CHLRE_08g384650v5	NULL	NULL	tpms	2	Cre08.g384650	g8
E-GEOD-62671	zeitgeber time 0	CHLRE_03g162800v5	NULL	NULL	tpms	0.2	Cre03.g162800	g1
E-GEOD-62671	zeitgeber time 12	CHLRE_03g162800v5	NULL	NULL	tpms	0.2	Cre03.g162800	g2
E-GEOD-62671	zeitgeber time 15	CHLRE_03g162800v5	NULL	NULL	tpms	0.7	Cre03.g162800	g3
E-GEOD-62671	zeitgeber time 18	CHLRE_03g162800v5	0.2686	7	tpms	3	Cre03.g162800	g4
