experiment_accession	assay	gene_id	specificity_score	marker_gene_rank	expression_unit	expression_level	gene_name	assay_id
E-GEOD-62671	zeitgeber time 6	CHLRE_10g422300v5	NULL	NULL	fpkms	2	Cre10.g422300	g7
E-GEOD-62671	zeitgeber time 9	CHLRE_10g422300v5	NULL	NULL	fpkms	2	Cre10.g422300	g8
E-GEOD-62671	zeitgeber time 0	CHLRE_16g694809v5	NULL	NULL	fpkms	0.2	Cre16.g694809	g1
E-GEOD-62671	zeitgeber time 12	CHLRE_16g694809v5	NULL	NULL	fpkms	0.2	Cre16.g694809	g2
E-GEOD-62671	zeitgeber time 15	CHLRE_16g694809v5	NULL	NULL	fpkms	0.2	Cre16.g694809	g3
E-GEOD-62671	zeitgeber time 18	CHLRE_16g694809v5	0.1811	4	fpkms	1	Cre16.g694809	g4
E-GEOD-62671	zeitgeber time 21	CHLRE_16g694809v5	NULL	NULL	fpkms	0.2	Cre16.g694809	g5
E-GEOD-62671	zeitgeber time 3	CHLRE_16g694809v5	NULL	NULL	fpkms	0.2	Cre16.g694809	g6
E-GEOD-62671	zeitgeber time 6	CHLRE_16g694809v5	NULL	NULL	fpkms	0.1	Cre16.g694809	g7
E-GEOD-62671	zeitgeber time 9	CHLRE_16g694809v5	NULL	NULL	fpkms	0	Cre16.g694809	g8
E-GEOD-62671	zeitgeber time 0	CHLRE_08g384650v5	NULL	NULL	fpkms	1	Cre08.g384650	g1
E-GEOD-62671	zeitgeber time 12	CHLRE_08g384650v5	NULL	NULL	fpkms	0.3	Cre08.g384650	g2
E-GEOD-62671	zeitgeber time 15	CHLRE_08g384650v5	NULL	NULL	fpkms	1	Cre08.g384650	g3
E-GEOD-62671	zeitgeber time 18	CHLRE_08g384650v5	0.2003	5	fpkms	14	Cre08.g384650	g4
E-GEOD-62671	zeitgeber time 21	CHLRE_08g384650v5	NULL	NULL	fpkms	3	Cre08.g384650	g5
E-GEOD-62671	zeitgeber time 3	CHLRE_08g384650v5	NULL	NULL	fpkms	0.2	Cre08.g384650	g6
E-GEOD-62671	zeitgeber time 6	CHLRE_08g384650v5	NULL	NULL	fpkms	0.3	Cre08.g384650	g7
