GeneID	Gene Name	g1	g2	g3	g4	g5	g6	g7	g8
CHLRE_07g313000v5		0,0,0,0,0	0.1,0.1,0.1,0.2,0.2	0.1,0.1,0.2,0.2,0.2	0,0,0.1,0.1,0.2	0.1,0.2,0.2,0.2,0.2	0.1,0.1,0.1,0.1,0.1	0,0,0.1,0.1,0.1	0.2,0.2,0.2,0.2,0.2
CHLRE_07g313050v5		16,16,16,17,17	14,14,15,15,16	10,10,10,10,11	15,15,15,16,16	12,13,14,14,15	17,17,17,17,17	18,18,18,18,18	12,13,13,14,15
CHLRE_07g313100v5		3,4,4,4,4	13,13,13,13,13	4,4,5,5,5	4,4,4,4,4	5,5,5,5,5	4,4,4,4,4	7,7,7,7,7	6,6,6,6,6
CHLRE_07g313122v5		14,14,14,15,15	21,22,22,23,23	18,18,18,18,18	18,19,19,19,20	16,17,17,17,17	12,13,13,14,14	12,13,13,13,13	13,13,14,14,15
CHLRE_07g313143v5		27,29,32,34,36	28,29,30,31,32	0.6,0.7,0.7,0.7,0.7	0.2,0.4,0.5,0.6,0.8	7,7,7,7,7	105,108,110,113,115	117,124,132,140,148	132,136,141,146,151
CHLRE_07g313164v5		5,5,5,5,5	19,19,19,19,20	11,12,12,13,13	7,7,8,8,9	6,6,7,7,7	10,10,10,11,11	13,13,13,13,14	13,14,14,15,15
CHLRE_07g313185v5		48,49,49,50,51	50,51,52,52,53	28,28,29,30,31	33,33,33,34,34	43,44,45,47,48	53,53,53,53,54	54,55,56,57,58	55,55,55,55,56
CHLRE_07g313206v5		0.5,0.6,0.6,0.7,0.7	0.9,0.9,0.9,0.9,0.9	0.6,0.6,0.6,0.6,0.6	0.5,0.5,0.6,0.6,0.6	1,1,1,1,1	0.5,0.6,0.6,0.6,0.7	0.6,0.6,0.7,0.8,0.9	0.4,0.5,0.5,0.6,0.6
CHLRE_07g313250v5		87,87,88,88,88	28,35,41,47,54	58,62,66,69,73	67,68,68,68,68	82,82,83,83,83	70,71,71,71,72	55,56,57,59,60	116,116,116,116,116
CHLRE_07g313302v5		42,45,47,50,52	28,29,30,31,32	5,5,5,5,5	22,22,22,23,23	13,14,14,14,15	45,46,47,48,49	47,49,51,52,54	34,35,35,35,35
CHLRE_07g313350v5		4,4,4,4,4	5,5,5,5,6	2,2,2,3,3	4,4,4,4,4	4,4,4,4,5	3,3,3,3,3	3,3,4,4,4	5,6,6,6,6
CHLRE_07g313400v5		4,4,4,4,4	6,6,6,6,6	3,4,4,4,4	1,2,2,2,2	5,6,6,7,7	3,3,3,4,4	4,4,4,4,4	4,4,5,5,6
CHLRE_07g313450v5		16,17,17,18,18	18,19,19,20,21	12,12,13,13,14	16,16,17,17,18	16,16,16,16,16	16,16,16,16,16	13,13,14,15,16	15,15,16,16,16
CHLRE_07g313500v5		5,5,5,5,5	10,10,10,10,10	4,4,4,5,5	3,3,4,4,4	5,5,5,5,5	6,6,6,6,7	7,7,7,8,8	7,7,7,7,8
CHLRE_07g313550v5		11,11,12,12,12	6,6,6,6,6	16,16,16,16,16	23,24,25,25,26	17,18,19,20,22	6,7,7,7,8	4,4,4,4,4	3,3,3,3,3
CHLRE_07g313600v5		0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0.1,0.1,0.1	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0
CHLRE_07g313650v5		0.9,1,1,1,1	0.2,0.2,0.2,0.2,0.3	0.3,0.3,0.3,0.3,0.3	0.7,0.8,0.8,0.9,0.9	0.7,0.7,0.7,0.8,0.8	0.4,0.4,0.5,0.5,0.5	0.5,0.5,0.5,0.5,0.5	0,0,0.1,0.1,0.2
CHLRE_07g313700v5		105,108,112,115,119	5,5,5,6,6	53,55,56,57,58	300,311,321,332,343	54,54,55,56,56	81,81,82,83,83	44,44,45,46,46	14,15,16,17,18
CHLRE_07g313750v5		6,6,6,7,7	5,5,5,5,5	3,3,3,4,4	4,5,5,5,5	9,9,9,9,9	5,5,5,6,6	5,5,6,6,6	3,3,3,3,4
CHLRE_07g313800v5		6,6,6,6,6	26,26,26,26,26	14,14,15,15,16	4,5,5,5,6	23,23,23,23,23	6,6,7,7,8	8,8,8,9,9	10,11,11,11,11
