Pathway	GeneID	Symbol	Description	wtns_vs_wtc_log2FC	wtns_vs_wtc_padj	vipns_vs_vipc_log2FC	vipns_vs_vipc_padj	vipc_vs_wtc_log2FC	vipc_vs_wtc_padj	vipns_vs_wtns_log2FC	vipns_vs_wtns_padj
Glycolysis	Cre03.g190500	Cre03.g190500	carbohydrate metabolic process catalytic activity hydrolase activity, hydrolyzing O-glycosyl compounds carbohydrate binding hydrolase activity hydrolase activity, acting on glycosyl bonds endoplasmic reticulum N-glycan processing alpha-glucosidase activity	0.1798	0.941204	0.2523	0.566994	0.9067	0.627762	0.9792	0.606213
Protein_Kinase_Signalling	Cre03.g190750	Cre03.g190750	ATP binding dTMP kinase activity dTDP biosynthetic process transferase activity kinase activity nucleotide binding nucleotide biosynthetic process nucleus mitochondrion cytoplasm nucleoside diphosphate kinase activity dUDP biosynthetic process dTTP biosynthetic process	0.1097	0.96695	0.2256	0.479718	1.0934	0.627762	1.2093	0.606213
Protein_Kinase_Signalling	Cre03.g190800	Cre03.g190800	ATP binding dTMP kinase activity dTDP biosynthetic process transferase activity kinase activity nucleotide binding nucleotide biosynthetic process nucleus mitochondrion cytoplasm nucleoside diphosphate kinase activity dUDP biosynthetic process dTTP biosynthetic process	-2.7031	0.763672	-3.7655	0.265477	0.1291	0.900223	-0.9332	0.619638
Fatty_Acid	Cre03.g190850	Cre03.g190850	catalytic activity mitochondrion fatty acid beta-oxidation	1.7431	0.763672	0.4209	0.657821	0.9401	0.637243	-0.3821	0.78763
Translation	Cre03.g191050	Cre03.g191050	nucleocytoplasmic transport GTP binding GTPase activity nucleus nucleotide binding protein transport cytoplasm ribosomal subunit export from nucleus protein import into nucleus	-1.171	0.763672	-1.6156	0.370713	0.2951	0.776168	-0.1495	0.880904
Ubiquitin_Proteasome	Cre03.g191150	Cre03.g191150	nucleus ubiquitin binding proteasome-mediated ubiquitin-dependent protein catabolic process protein binding	-0.7827	0.765014	-0.3439	0.632809	0.8601	0.627762	1.2989	0.606213
Cysteine	Cre03.g191900	Cre03.g191900	cysteine-type deubiquitinase activity protein deubiquitination hydrolase activity peptidase activity proteolysis cytosol nucleus regulation of protein stability protein binding	1.9909	0.763672	0.6871	0.330531	1.4792	0.627762	0.1753	0.806396
Translation	Cre03.g191950	Cre03.g191950	ribosome rRNA processing ribosome binding ribosome biogenesis maturation of SSU-rRNA	-0.1768	0.94246	-0.1322	0.799075	0.5841	0.637243	0.6287	0.622028
Phospholipid_Biosynthesis	Cre03.g192501	Cre03.g192501	TORC2 complex cytoplasm plasma membrane phosphatidylinositol-4,5-bisphosphate binding TORC2 signaling	1.7435	0.765014	1.4815	0.247011	0.5138	0.696197	0.2517	0.867571
Terpenoid	Cre03.g192600	Cre03.g192600	ATP binding catalytic activity thymidine kinase activity isoprenoid biosynthetic process transferase activity kinase activity nucleotide binding metal ion binding deoxyribonucleoside monophosphate biosynthetic process DNA biosynthetic process thymidine metabolic process	-0.591	0.773334	0.1723	0.80064	0.5433	0.630867	1.3066	0.606213
Pyrimidine	Cre03.g192850	Cre03.g192850	ATP binding N-acetyltransferase activity acyltransferase activity, transferring groups other than amino-acyl groups transferase activity nucleotide binding rRNA processing nucleolus acyltransferase activity tRNA processing rRNA modification rRNA metabolic process ribosomal small subunit biogenesis tRNA binding rRNA acetylation involved in maturation of SSU-rRNA RNA modification tRNA wobble cytosine modification	0.2327	0.887227	-0.2373	0.371316	0.9203	0.627762	0.4503	0.615365
Protein_Kinase_Signalling	Cre03.g193150	Cre03.g193150	double-stranded RNA binding nucleolus protein kinase binding protein kinase inhibitor activity	-1.4688	0.766457	-1.0688	0.330262	-0.0308	0.985462	0.3692	0.829639
Vitamin_B2_Riboflavin	Cre03.g193300	Cre03.g193300	riboflavin biosynthetic process	1.4929	0.765014	-1.2545	0.364359	1.4415	0.627762	-1.3059	0.64215
Transcription	Cre03.g193400	Cre03.g193400	regulation of DNA-templated transcription DNA-binding transcription factor activity DNA-templated transcription initiation DNA-directed RNA polymerase activity transcription cis-regulatory region binding regulation of DNA-templated transcription initiation sigma factor activity	0.3507	0.814481	-0.1809	0.742556	0.9841	0.627762	0.4525	0.656571
Translation	Cre03.g193550	Cre03.g193550	structural constituent of ribosome mitochondrial large ribosomal subunit	-0.7556	0.765014	-0.4714	0.565474	0.6964	0.627762	0.9806	0.606213
Glycine	Cre03.g193750	Cre03.g193750	aminomethyltransferase activity glycine catabolic process glycine cleavage complex transferase activity mitochondrion transaminase activity glycine decarboxylation via glycine cleavage system protein binding	-1.3572	0.765014	-1.4865	0.259377	0.7016	0.633067	0.5723	0.610261
Asparagine	Cre03.g193800	Cre03.g193800	ATP binding nucleotide binding tRNA aminoacylation for protein translation asparagine-tRNA ligase activity asparaginyl-tRNA aminoacylation aminoacyl-tRNA ligase activity translation ligase activity mitochondrion	-0.7679	0.763672	-0.8118	0.290699	0.0902	0.866856	0.0463	0.960738
TCA_Cycle	Cre03.g193850	Cre03.g193850	catalytic activity nucleotide binding ligase activity mitochondrion tricarboxylic acid cycle succinate-CoA ligase (ADP-forming) activity succinate-CoA ligase (GDP-forming) activity succinate-CoA ligase complex (ADP-forming)	-0.4704	0.859427	-0.7022	0.293614	0.5839	0.637243	0.3521	0.68021
Photosynthesis	Cre03.g193950	Cre03.g193950	oxidoreductase activity, acting on iron-sulfur proteins as donors oxidoreductase activity metal ion binding iron-sulfur cluster binding ferredoxin-thioredoxin reductase activity photosynthesis	-1.1472	0.763672	-1.1492	0.237477	-0.026	0.96945	-0.028	0.974982
Serine	Cre03.g194100	Cre03.g194100	ATP binding protein kinase activity protein phosphorylation transferase activity membrane kinase activity nucleotide binding protein serine/threonine kinase activity signal transduction	1.0125	0.765014	0.0696	0.934184	0.6948	0.660584	-0.2481	0.792949
Cysteine	Cre03.g194250	Cre03.g194250	ubiquitin-dependent protein catabolic process cysteine-type deubiquitinase activity hydrolase activity peptidase activity proteolysis cysteine-type peptidase activity cytoplasm protein catabolic process	-1.1339	0.765014	-1.1759	0.322247	0.42	0.717391	0.3781	0.680184
Translation	Cre03.g194400	Cre03.g194400	cytoplasm translation initiation factor activity eukaryotic translation initiation factor 3 complex formation of cytoplasmic translation initiation complex cytoplasmic translational initiation translation translational initiation eukaryotic 43S preinitiation complex eukaryotic 48S preinitiation complex RNA binding eukaryotic translation initiation factor 3 complex, eIF3m protein binding	-0.5851	0.765014	-1.6421	0.344664	0.6365	0.634893	-0.4205	0.66768
Carotenoid	Cre03.g194450	Cre03.g194450	xanthophyll biosynthetic process	-0.6243	0.765014	-0.4772	0.479447	0.2143	0.74535	0.3614	0.707146
Protein_Kinase_Signalling	Cre03.g194500	Cre03.g194500	ATP binding protein kinase activity protein phosphorylation	1.5975	0.763672	0.6392	0.392067	0.8167	0.627762	-0.1416	0.843964
Protein_Kinase_Signalling	Cre03.g194600	Cre03.g194600	ATP binding protein kinase activity protein phosphorylation	3.4735	0.763672	0.1763	0.707365	3.633	0.627762	0.3358	0.670371
Protein_Kinase_Signalling	Cre03.g194800	Cre03.g194800	RNA processing mRNA 3'-end processing mRNA cleavage factor complex nucleus nucleotide binding ATP binding mRNA processing tRNA splicing, via endonucleolytic cleavage and ligation polynucleotide 5'-hydroxyl-kinase activity	0.1677	0.954056	-0.2091	0.820378	1.0243	0.631561	0.6475	0.610506
Transcription	Cre03.g194900	Cre03.g194900	intracellular signal transduction cyclic nucleotide biosynthetic process nucleus DNA-binding transcription factor activity, RNA polymerase II-specific regulation of transcription by RNA polymerase II cis-regulatory region sequence-specific DNA binding response to starvation	0.7807	0.763672	0.8516	0.358753	0.7733	0.627762	0.8442	0.606213
Transcription	Cre03.g194950	Cre03.g194950	regulation of DNA-templated transcription DNA-binding transcription factor activity DNA-templated transcription initiation DNA binding DNA-directed RNA polymerase activity transcription cis-regulatory region binding sigma factor activity regulation of DNA-templated transcription initiation	1.4859	0.763672	-0.0638	0.963231	1.1477	0.637243	-0.402	0.659806
Aspartate	Cre03.g195350	Cre03.g195350	protein-L-isoaspartate (D-aspartate) O-methyltransferase activity transferase activity methyltransferase activity methylation cytoplasm protein modification process	-2.3169	0.763672	-3.4396	0.284094	1.4026	0.627762	0.2799	0.938533
Trehalose	Cre03.g195600	Cre03.g195600	carbohydrate metabolic process alpha,alpha-trehalase activity hydrolase activity hydrolase activity, acting on glycosyl bonds trehalose metabolic process trehalose catabolic process	0.301	0.918489	0.1846	0.586059	0.6612	0.644117	0.5449	0.646339
Translation	Cre03.g195650	Cre03.g195650	translation ribosome structural constituent of ribosome RNA binding mitochondrion ribonucleoprotein complex small ribosomal subunit	-1.3276	0.763672	-1.6057	0.139689	0.4607	0.631121	0.1826	0.864068
Cysteine	Cre03.g196250	Cre03.g196250	proteolysis cysteine-type peptidase activity	3.1902	0.763672	1.4291	0.24426	0.6487	0.637243	-1.1124	0.608461
Translation	Cre03.g197000	Cre03.g197000	ribosomal large subunit assembly rRNA binding rRNA processing maturation of LSU-rRNA nucleolus maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	-0.1392	0.951925	-0.2656	0.70116	0.3233	0.774226	0.1969	0.830317
Transcription	Cre03.g197100	Cre03.g197100	nucleus regulation of DNA-templated transcription DNA-binding transcription factor activity, RNA polymerase II-specific RNA polymerase II cis-regulatory region sequence-specific DNA binding regulation of transcription by RNA polymerase II	2.2205	0.763672	2.1119	0.260716	0.7742	0.627762	0.6656	0.606213
ROS_Scavenging	Cre03.g197750	Cre03.g197750	response to oxidative stress peroxidase activity oxidoreductase activity cellular oxidant detoxification cellular response to oxidative stress	-3.0981	0.763672	-1.2914	0.352278	1.7182	0.627762	3.5248	0.606213
Cysteine	Cre03.g197900	Cre03.g197900	hydrolase activity peptidase activity proteolysis cysteine-type peptidase activity deUFMylase activity ubiquitin-like protein peptidase activity	-0.263	0.946257	0.0692	0.927855	0.7697	0.659094	1.102	0.606213
Serine	Cre03.g198000	Cre03.g198000	protein serine/threonine phosphatase activity protein dephosphorylation regulation of intracellular signal transduction	0.8052	0.765014	0.1928	0.820235	0.7118	0.645529	0.0994	0.916574
Protein_Kinase_Signalling	Cre03.g198550	Cre03.g198550	ATP binding protein kinase activity protein phosphorylation transferase activity kinase activity nucleotide binding	0	NA	0	NA	0	NA	0	NA
Photosynthesis	Cre03.g198850	Cre03.g198850	calcium ion binding photosynthesis photosystem II photosystem II oxygen evolving complex extrinsic component of membrane	-3.5196	0.763672	-3.1874	0.228679	-0.3296	0.717761	0.0026	0.998038
Photosynthesis	Cre03.g198950	Cre03.g198950	calcium ion binding photosynthesis photosystem II photosystem II oxygen evolving complex extrinsic component of membrane chloroplast thylakoid membrane photosystem I assembly	-1.214	0.763672	-1.6623	0.193516	0.4835	0.637243	0.0352	0.977506
Serine	Cre03.g199000	Cre03.g199000	ATP binding protein kinase activity protein serine/threonine kinase activity protein phosphorylation transferase activity membrane kinase activity nucleotide binding nucleus cytoplasm plasma membrane photoreceptor activity blue light photoreceptor activity blue light signaling pathway protein autophosphorylation protein serine kinase activity	-0.8557	0.765014	-1.3216	0.136126	0.6067	0.627762	0.1408	0.870766
Serine	Cre03.g199050	Cre03.g199050	ATP binding protein kinase activity protein serine/threonine kinase activity protein phosphorylation transferase activity kinase activity nucleotide binding metal ion binding cAMP-dependent protein kinase activity cAMP-dependent protein kinase complex cGMP binding cGMP-dependent protein kinase activity adenylate cyclase-activating G protein-coupled receptor signaling pathway	0	NA	2.6223	0.594782	0	NA	2.6223	0.66768
Chaperone	Cre03.g199300	Cre03.g199300	protein-folding chaperone binding ATPase activator activity cytosol protein folding	-0.5589	0.823826	-0.7108	0.26743	0.7628	0.627762	0.6109	0.643149
Pyrimidine	Cre03.g199423	Cre03.g199423	membrane cytoplasm 'de novo' pyrimidine nucleobase biosynthetic process oxidoreductase activity, acting on the CH-CH group of donors dihydroorotate dehydrogenase activity oxidoreductase activity mitochondrial inner membrane 'de novo' UMP biosynthetic process pyrimidine ribonucleotide biosynthetic process	0.4615	0.797945	-0.1603	0.760423	0.7584	0.627762	0.1367	0.867475
Photosynthesis	Cre03.g199600	Cre03.g199600	monoatomic ion transport plasma membrane thylakoid membrane voltage-gated chloride channel activity photosynthesis, light reaction	-0.2761	0.882392	-0.0796	0.876466	0.4115	0.662759	0.6079	0.606213
Translation	Cre03.g199900	Cre03.g199900	RNA binding translation initiation factor activity translational initiation translation RNA 7-methylguanosine cap binding eukaryotic translation initiation factor 4F complex regulation of translation	-0.5877	0.765014	-0.7902	0.311703	0.404	0.637243	0.2016	0.829941
Serine	Cre03.g199983	Cre03.g199983	protein serine/threonine phosphatase activity hydrolase activity metal ion binding phosphoprotein phosphatase activity cytosol nucleus mitotic cell cycle	-1.0124	0.765014	-1.5477	0.188069	0.3019	0.763241	-0.2334	0.854536
RNA_Processing	Cre03.g200095	Cre03.g200095	ATP binding nucleic acid binding nucleotide binding helicase activity hydrolase activity RNA helicase activity nucleus mRNA binding	-0.138	0.93614	0.1098	0.863217	0.5126	0.627762	0.7604	0.60926
Ubiquitin_Proteasome	Cre03.g200100	Cre03.g200100	endoplasmic reticulum ubiquitin binding protein binding ERAD pathway	-0.0599	0.985102	-0.348	0.719364	1.037	0.627762	0.7489	0.66768
Serine	Cre03.g200200	Cre03.g200200	ATP binding protein kinase activity protein phosphorylation transferase activity kinase activity nucleotide binding protein serine/threonine kinase activity nucleus cytoplasm intracellular signal transduction regulation of cell cycle cyclin-dependent protein serine/threonine kinase activity	-0.4861	0.870657	-1.7148	0.320797	1.1922	0.627762	-0.0364	0.984616
Phospholipid_Biosynthesis	Cre03.g200400	Cre03.g200400	phosphatidylcholine lysophospholipase activity	-0.0564	0.975131	-0.0333	0.952532	0.5195	0.637243	0.5426	0.606683
Vitamin_B1_Thiamine	Cre03.g200543	Cre03.g200543	transmembrane transport membrane mitochondrial inner membrane thiamine transmembrane transporter activity	-0.1281	0.94246	-0.1705	0.695596	0.9335	0.627762	0.891	0.606213
Serine	Cre03.g200655	Cre03.g200655	carbohydrate metabolic process serine-type endopeptidase activity hydrolase activity, hydrolyzing O-glycosyl compounds proteolysis hydrolase activity peptidase activity hydrolase activity, acting on glycosyl bonds serine-type peptidase activity xylan catabolic process xylan 1,4-beta-xylosidase activity alpha-L-arabinofuranosidase activity arabinan catabolic process	2.3268	0.763672	1.433	0.235223	1.4742	0.627762	0.5804	0.606213
Pyrimidine	Cre03.g200750	Cre03.g200750	methyltransferase activity transferase activity methylation DNA (cytosine-5-)-methyltransferase activity nucleus DNA binding	0.3276	0.844195	0.2723	0.718712	0.4243	0.659412	0.369	0.706606
Chaperone	Cre03.g201050	Cre03.g201050	metal ion binding protein folding chloroplast stroma protein folding chaperone protein folding chaperone complex	-0.847	0.765014	-0.6627	0.352326	0.5563	0.636495	0.7406	0.615177
Vitamin_C_Ascorbate	Cre03.g201300	Cre03.g201300	catalytic activity copper ion binding monooxygenase activity oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced ascorbate as one donor, and incorporation of one atom of oxygen dopamine beta-monooxygenase activity	0.6635	0.765014	0.0263	0.964572	0.423	0.642637	-0.2141	0.819158
Serine	Cre03.g201400	Cre03.g201400	protein serine/threonine phosphatase activity protein dephosphorylation regulation of intracellular signal transduction	-0.643	0.765014	-0.8983	0.24426	0.8235	0.627762	0.5682	0.629068
cAMP_Signalling	Cre03.g201450	Cre03.g201450	intracellular signal transduction cyclic nucleotide biosynthetic process adenylate cyclase activity cAMP biosynthetic process	1.1635	0.763672	1.0076	0.328599	0.8897	0.627762	0.7338	0.606213
Purine	Cre03.g202113	Cre03.g202113	phosphoribosylaminoimidazolesuccinocarboxamide synthase activity purine nucleotide biosynthetic process nucleotide binding ATP binding ligase activity 'de novo' IMP biosynthetic process	0.4749	0.816821	0.4472	0.467274	1.2953	0.627762	1.2676	0.606213
Pyrimidine	Cre03.g202150	Cre03.g202150	methyltransferase activity transferase activity methylation DNA (cytosine-5-)-methyltransferase activity nucleus DNA binding	-0.9756	0.7723	0.162	0.846473	0.7238	0.635112	1.8614	0.606213
cAMP_Signalling	Cre03.g202202	Cre03.g202202	intracellular signal transduction cyclic nucleotide biosynthetic process adenylate cyclase activity cAMP biosynthetic process	3.8104	0.763672	2.6862	0.594782	0	NA	-1.1243	0.631891
cAMP_Signalling	Cre03.g202350	Cre03.g202350	intracellular signal transduction cyclic nucleotide biosynthetic process adenylate cyclase activity cAMP biosynthetic process	1.005	0.763672	0.615	0.288496	0.2256	0.713196	-0.1644	0.807408
Ubiquitin_Proteasome	Cre03.g202897	Cre03.g202897	nucleus protein polyubiquitination ubiquitin conjugating enzyme activity	0.4702	0.765014	0.1177	0.782044	0.9142	0.627762	0.5618	0.606213
Translation	Cre03.g203450	Cre03.g203450	translation ribosome structural constituent of ribosome cytosolic small ribosomal subunit endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA) ribonucleoprotein complex	-1.2058	0.763672	-0.447	0.538915	0.6425	0.627762	1.4013	0.606213
cAMP_Signalling	Cre03.g203451	Cre03.g203451	intracellular signal transduction cyclic nucleotide biosynthetic process adenylate cyclase activity cAMP biosynthetic process	5.2678	0.763672	6.9713	0.220001	0.6923	0.637243	2.3958	0.606213
Protein_Kinase_Signalling	Cre03.g203500	Cre03.g203500	ATP binding protein kinase activity protein phosphorylation nucleotide binding cytoplasm signal transduction	4.1024	0.763672	3.1062	0.231828	1.9547	0.627762	0.9585	0.606213
Serine	Cre03.g203730	Cre03.g203730	hydrolase activity peptidase activity proteolysis serine-type peptidase activity serine-type endopeptidase activity protein binding	-1.3327	0.763672	-0.7369	0.259377	0.5443	0.627762	1.1401	0.606213
Protein_Kinase_Signalling	Cre03.g204300	Cre03.g204300	ATP binding protein kinase activity protein phosphorylation chloroplast	-0.9522	0.763672	-0.656	0.211926	1.1507	0.627762	1.4469	0.606213
Serine	Cre03.g204350	Cre03.g204350	serine-type endopeptidase activity proteolysis ATP-dependent peptidase activity plastid protein quality control for misfolded or incompletely synthesized proteins endopeptidase Clp complex	-0.9165	0.763672	-0.5644	0.268425	0.5318	0.627762	0.8839	0.606213
Serine	Cre03.g204400	Cre03.g204400	membrane serine-type endopeptidase activity hydrolase activity peptidase activity proteolysis	0.8755	0.765014	1.1092	0.275468	0.9114	0.634381	1.1451	0.606213
Purine	Cre03.g204601	Cre03.g204601	kinase activity adenosine kinase activity purine ribonucleoside salvage transferase activity nucleotide binding ATP binding cytosol nucleus purine nucleobase metabolic process AMP salvage nucleobase-containing compound biosynthetic process nucleobase-containing small molecule metabolic process	-1.6742	0.763672	-1.9502	0.288906	0.469	0.637243	0.193	0.817388
cAMP_Signalling	Cre03.g204689	Cre03.g204689	signal transduction phosphoric diester hydrolase activity 3',5'-cyclic-nucleotide phosphodiesterase activity hydrolase activity metal ion binding catalytic activity 3',5'-cyclic-AMP phosphodiesterase activity 3',5'-cyclic-GMP phosphodiesterase activity	-0.0269	0.990097	-0.4778	0.413285	0.2832	0.727137	-0.1677	0.900503
Phospholipid_Biosynthesis	Cre03.g204751	Cre03.g204751	membrane phospholipid biosynthetic process phosphotransferase activity, for other substituted phosphate groups transferase activity lipid metabolic process	0	NA	0	NA	0	NA	0	NA
Purine	Cre03.g204752	Cre03.g204752	transferase activity RNA binding methyltransferase activity methylation nucleus mRNA 5'-cap (guanine-N7-)-methyltransferase activity RNA 5'-cap (guanine-N7)-methylation 7-methylguanosine mRNA capping	-0.7144	0.765014	-0.091	0.850332	0.7039	0.627762	1.3273	0.606213
Ubiquitin_Proteasome	Cre03.g204801	Cre03.g204801	ubiquitin-protein transferase activity Fanconi anaemia nuclear complex nucleus ubiquitin protein ligase activity DNA repair protein monoubiquitination	-1.5861	0.775141	-1.7759	0.248652	1.2135	0.627762	1.0236	0.698198
Phospholipid_Biosynthesis	Cre03.g205050	Cre03.g205050	O-acyltransferase activity transferase activity lipid metabolic process acyltransferase activity endoplasmic reticulum membrane diacylglycerol O-acyltransferase activity triglyceride biosynthetic process	-0.4412	0.822201	-0.2342	0.599483	1.126	0.627762	1.3331	0.606213
Translation	Cre03.g205600	Cre03.g205600	ribosomal large subunit binding negative regulation of translation negative regulation of ribosome biogenesis	0.0344	0.986234	0.0546	0.923626	0.6554	0.627762	0.6756	0.610661
Ubiquitin_Proteasome	Cre03.g205650	Cre03.g205650	regulation of ubiquitin-dependent protein catabolic process protein binding polyubiquitin modification-dependent protein binding	2.0956	0.763672	1.1147	0.235717	1.5452	0.627762	0.5643	0.606213
Ubiquitin_Proteasome	Cre03.g205700	Cre03.g205700	regulation of ubiquitin-dependent protein catabolic process	0.7944	0.765014	0.3635	0.57448	0.7314	0.627762	0.3005	0.738187
Ubiquitin_Proteasome	Cre03.g205701	Cre03.g205701	regulation of ubiquitin-dependent protein catabolic process	1.2419	0.763672	1.6958	0.364185	0.4314	0.648749	0.8854	0.615177
Protein_Kinase_Signalling	Cre03.g205800	Cre03.g205800	ribosome biogenesis maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) nucleolus protein kinase inhibitor activity protein binding	0.1165	0.946675	0.2838	0.707675	1.1662	0.627762	1.3335	0.606213
Serine	Cre03.g205950	Cre03.g205950	ATP binding protein kinase activity protein phosphorylation transferase activity kinase activity nucleotide binding protein serine/threonine kinase activity nucleus cytoplasm intracellular signal transduction calmodulin binding calcium-dependent protein serine/threonine kinase activity calcium/calmodulin-dependent protein kinase activity	0.6552	0.765014	0.2812	0.572344	0.9097	0.627762	0.5357	0.610123
Serine	Cre03.g206202	Cre03.g206202	ATP binding protein kinase activity protein phosphorylation transferase activity kinase activity nucleotide binding nucleus cytoplasm protein serine/threonine kinase activity intracellular signal transduction	1.5133	0.765014	3.7374	0.323213	-0.9517	0.637243	1.2724	0.606213
Serine	Cre03.g206257	Cre03.g206257	ATP binding protein kinase activity protein phosphorylation nucleotide binding protein serine/threonine kinase activity signal transduction	-0.2069	0.936786	0.1346	0.776829	1.0365	0.627762	1.3779	0.606213
Protein_Kinase_Signalling	Cre03.g206369	Cre03.g206369	ATP binding protein kinase activity protein phosphorylation nucleotide binding cytoplasm signal transduction	1.5759	0.763672	2.6543	0.288235	0.319	0.714764	1.3974	0.606213
Transcription	Cre03.g206593	Cre03.g206593	metal ion binding zinc ion binding nucleus regulation of transcription by RNA polymerase II DNA-binding transcription factor activity, RNA polymerase II-specific	-0.0561	0.975131	0.4273	0.341711	0.0634	0.939991	0.5468	0.606213
Valine	Cre03.g206600	Cre03.g206600	catalytic activity branched-chain amino acid biosynthetic process dihydroxy-acid dehydratase activity metal ion binding amino acid biosynthetic process lyase activity iron-sulfur cluster binding isoleucine biosynthetic process L-valine biosynthetic process hydro-lyase activity	-0.5344	0.819063	-0.7317	0.315219	0.5564	0.637243	0.3591	0.686504
Serine	Cre03.g206650	Cre03.g206650	ATP binding protein kinase activity protein phosphorylation transferase activity kinase activity nucleotide binding protein serine/threonine kinase activity nucleus cytoplasm mitotic DNA damage checkpoint signaling	1.3753	0.765014	-1.6726	0.242405	1.1958	0.627762	-1.8522	0.643014
Protein_Kinase_Signalling	Cre03.g206900	Cre03.g206900	ATP binding protein kinase activity protein phosphorylation	3.4539	0.763672	2.1986	0.318569	2.1501	0.627762	0.8947	0.60926
Translation	Cre03.g207050	Cre03.g207050	translation ribosome structural constituent of ribosome cytoplasmic translation cytosolic large ribosomal subunit ribonucleoprotein complex	-0.1305	0.939747	0.0054	0.994374	0.1023	0.901912	0.2382	0.813316
Glutamine	Cre03.g207250	Cre03.g207250	catalytic activity glutamine synthetase activity glutamine biosynthetic process nucleotide binding ATP binding cytoplasm ligase activity	0.7881	0.763672	0.3761	0.600668	0.6883	0.630798	0.2763	0.731154
Phospholipid_Biosynthesis	Cre03.g207351	Cre03.g207351	transferase activity membrane lipid metabolic process acyltransferase activity phospholipid biosynthetic process phosphatidylcholine biosynthetic process	1.1649	0.848211	0.6177	0.748033	1.1609	0.637243	0.6136	0.826945
Cysteine	Cre03.g207502	Cre03.g207502	transferase activity membrane acyltransferase activity protein-cysteine S-palmitoyltransferase activity palmitoyltransferase activity	0.5842	0.785697	-0.0715	0.839399	0.4699	0.690628	-0.1857	0.824227
Wax_Cutin	Cre03.g207700	Cre03.g207700	isoprenoid biosynthetic process transferase activity, transferring alkyl or aryl (other than methyl) groups prenyltransferase activity transferase activity metal ion binding cytoplasm dimethylallyltranstransferase activity (2E,6E)-farnesyl diphosphate synthase activity farnesyl diphosphate biosynthetic process pheromone biosynthetic process	-0.83	0.765014	-0.7743	0.268425	0.7575	0.627762	0.8132	0.606213
Glycolysis	Cre03.g207713	Cre03.g207713	carbohydrate metabolic process hydrolase activity, hydrolyzing O-glycosyl compounds glycogen catabolic process hydrolase activity chloroplast hydrolase activity, acting on glycosyl bonds isoamylase activity amylo-alpha-1,6-glucosidase activity	-0.0634	0.966564	0.2309	0.640808	0.076	0.919302	0.3702	0.65385
cAMP_Signalling	Cre03.g207750	Cre03.g207750	intracellular signal transduction cyclic nucleotide biosynthetic process axoneme adenylate cyclase activity cAMP biosynthetic process	1.8688	0.763672	1.2741	0.263999	1.1291	0.627762	0.5344	0.635961
Lignin	Cre03.g207800	Cre03.g207800	zinc ion binding oxidoreductase activity oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor metal ion binding lignin biosynthetic process	-2.6871	0.763672	-11.0975	0.061295	1.6188	0.627762	-6.7916	0.66768
Translation	Cre03.g207825	Cre03.g207825	biosynthetic process translation initiation factor activity translation translational initiation cytoplasm cytosol cytoplasmic translational initiation eukaryotic translation initiation factor 2B complex guanyl-nucleotide exchange factor activity	0.3559	0.866852	0.0474	0.955868	0.7947	0.631561	0.4862	0.656876
Serine	Cre03.g207900	Cre03.g207900	nucleus cytoplasm cell division cyclin-dependent protein kinase holoenzyme complex G1/S transition of mitotic cell cycle cyclin-dependent protein serine/threonine kinase regulator activity	-3.3356	0.763672	-3.0039	0.061295	0.1683	0.852013	0.4999	0.721402
Translation	Cre03.g207950	Cre03.g207950	nucleus RNA polymerase I core binding RNA polymerase I general transcription initiation factor activity transcription initiation at RNA polymerase I promoter	0.983	0.763672	0.3536	0.539622	0.502	0.671554	-0.1274	0.891515
Fatty_Acid	Cre03.g208050	Cre03.g208050	fatty acid biosynthetic process hydro-lyase activity cytoplasm lipid metabolic process lyase activity lipid A biosynthetic process (3R)-hydroxyacyl-[acyl-carrier-protein] dehydratase activity	-0.9773	0.765014	-0.8868	0.262864	0.4128	0.676612	0.5033	0.652364
RNA_Processing	Cre03.g208100	Cre03.g208100	RNA binding RNA nuclease activity hydrolase activity nuclease activity exonuclease activity P-body 3'-5'-RNA exonuclease activity mRNA catabolic process	0.3681	0.765014	0.0628	0.902262	1.0008	0.627762	0.6956	0.606213
Vitamin_B2_Riboflavin	Cre03.g209393	Cre03.g209393	FMN binding oxidoreductase activity cytosol oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor	3.3439	0.763672	2.2595	0.25619	3.2247	0.637243	2.1403	0.606213
Serine	Cre03.g209505	Cre03.g209505	ATP binding protein kinase activity protein phosphorylation transferase activity kinase activity nucleotide binding protein serine/threonine kinase activity	0.1146	0.939276	0.4881	0.599483	0.3909	0.640329	0.7644	0.622917
Transcription	Cre03.g209953	Cre03.g209953	regulation of DNA-templated transcription DNA-binding transcription factor activity DNA binding nucleus	1.9779	0.763672	0.5366	0.754156	0.6728	0.703963	-0.7684	0.68021
