Pathway	GeneID	Symbol	Description	wtns_vs_wtc_log2FC	wtns_vs_wtc_padj	vipns_vs_vipc_log2FC	vipns_vs_vipc_padj	vipc_vs_wtc_log2FC	vipc_vs_wtc_padj	vipns_vs_wtns_log2FC	vipns_vs_wtns_padj
Serine	Cre08.g381950	Cre08.g381950	ATP binding protein kinase activity protein phosphorylation transferase activity kinase activity nucleotide binding protein serine/threonine kinase activity cytoplasm protein tyrosine kinase activity	0.091	0.942764	0.274	0.712308	0.6361	0.627762	0.819	0.606213
Translation	Cre08.g382500	Cre08.g382500	ribosome structural constituent of ribosome cytosolic small ribosomal subunit ribonucleoprotein complex	-0.3556	0.853494	0.4841	0.663634	0.1086	0.903392	0.9483	0.626502
Translation	Cre08.g382689	Cre08.g382689	mRNA binding nucleus structural constituent of ribosome protein tag activity protein ubiquitination modification-dependent protein catabolic process protein binding cytosolic ribosome	0.7029	0.763672	0.675	0.400081	0.0983	0.866614	0.0704	0.936375
Translation	Cre08.g382700	Cre08.g382700	mRNA binding nucleus structural constituent of ribosome protein tag activity protein ubiquitination modification-dependent protein catabolic process protein binding cytosolic ribosome	-1.1198	0.765014	-0.9788	0.303756	0.4485	0.691713	0.5895	0.614775
Translation	Cre08.g382716	Cre08.g382716	mRNA binding nucleus structural constituent of ribosome protein tag activity protein ubiquitination modification-dependent protein catabolic process protein binding cytosolic ribosome	-1.165	0.765014	-1.0043	0.313585	0.564	0.642229	0.7247	0.606213
Serine	Cre08.g382800	Cre08.g382800	ATP binding protein kinase activity calcium ion binding protein phosphorylation transferase activity kinase activity nucleotide binding cytoplasm protein serine/threonine kinase activity nucleus intracellular signal transduction calmodulin binding calcium-dependent protein serine/threonine kinase activity calcium/calmodulin-dependent protein kinase activity organelle	0.0461	0.980631	-0.2571	0.71572	0.7398	0.632121	0.4365	0.614764
Transcription	Cre08.g383000	Cre08.g383000	regulation of DNA-templated transcription DNA-binding transcription factor activity DNA binding nucleus transcription cis-regulatory region binding	0.1906	0.907314	0.6094	0.521779	0.0827	0.874893	0.5015	0.675011
Ubiquitin_Proteasome	Cre08.g383200	Cre08.g383200	mRNA processing protein ubiquitination ubiquitin protein ligase activity nucleus ubiquitin-dependent protein catabolic process	-0.1254	0.94246	1.0624	0.257264	0.5727	0.631377	1.7606	0.606213
Fatty_Acid	Cre08.g383300	Cre08.g383300	membrane chloroplast inner membrane fatty acid transmembrane transporter activity fatty acid transport	-0.0995	0.962547	0.353	0.557779	0.6881	0.629093	1.1406	0.606213
Ubiquitin_Proteasome	Cre08.g383450	Cre08.g383450	protein polyubiquitination positive regulation of proteasomal ubiquitin-dependent protein catabolic process	0.0827	0.968824	-0.1348	0.680061	1.1004	0.627762	0.8828	0.606213
Ubiquitin_Proteasome	Cre08.g383550	Cre08.g383550	protein ubiquitination ubiquitin-protein transferase activity protein binding	-0.7476	0.765014	-0.3962	0.57195	0.7261	0.627762	1.0776	0.606213
Ubiquitin_Proteasome	Cre08.g383702	Cre08.g383702	transferase activity ubiquitin conjugating enzyme activity	0.8138	0.765014	0.3616	0.456711	1.2998	0.627762	0.8475	0.606213
Ubiquitin_Proteasome	Cre08.g383900	Cre08.g383900	zinc ion binding cytoplasm ubiquitin protein ligase activity ubiquitin-dependent protein catabolic process	-0.2267	0.929195	-0.6515	0.298919	1.05	0.627762	0.6253	0.608548
Serine	Cre08.g384250	Cre08.g384250	ATP binding protein kinase activity protein phosphorylation transferase activity kinase activity nucleotide binding protein serine/threonine kinase activity	0.5331	0.765014	0.3858	0.681645	0.6356	0.631121	0.4883	0.688483
Translation	Cre08.g384355	Cre08.g384355	RNA binding ribosomal large subunit biogenesis nucleolus GTPase activity	0.3456	0.785697	1.2065	0.479134	0.2794	0.686247	1.1403	0.621158
RNA_Processing	Cre08.g384390	Cre08.g384390	ATP binding nucleic acid binding nucleotide binding helicase activity hydrolase activity nuclear-transcribed mRNA catabolic process, 3'-5' exonucleolytic nonsense-mediated decay Ski complex RNA helicase activity	-0.466	0.876276	-0.182	0.882921	1.1274	0.63713	1.4114	0.606213
Vitamin_E_Tocopherol	Cre08.g384628	Cre08.g384628	kinase activity transferase activity metal ion binding chloroplast membrane zinc ion binding phytol kinase activity	0.1949	0.925111	0.1012	0.754156	0.5041	0.63713	0.4104	0.685937
Purine	Cre08.g384700	Cre08.g384700	nucleic acid binding methyltransferase activity transferase activity methylation rRNA methylation rRNA (adenine-N6-)-methyltransferase activity	0.8581	0.765014	0.4113	0.573599	1.0599	0.627762	0.6131	0.610123
Sucrose	Cre08.g384750	Cre08.g384750	carbohydrate metabolic process calcium ion binding cation binding alpha-amylase activity hydrolase activity hydrolase activity, acting on glycosyl bonds sucrose catabolic process	3.2474	0.763672	3.3429	0.233579	-0.0098	0.991704	0.0857	0.904757
Serine	Cre08.g384900	Cre08.g384900	ATP binding protein kinase activity protein phosphorylation transferase activity kinase activity nucleotide binding protein serine/threonine kinase activity signal transduction	-1.4251	0.765014	-1.857	0.099851	0.8081	0.627762	0.3763	0.66768
Serine	Cre08.g385000	Cre08.g385000	ATP binding protein kinase activity protein phosphorylation protein serine/threonine kinase activity	0.866	0.771908	1.6059	0.315219	0.8107	0.631533	1.5506	0.606213
Serine	Cre08.g385050	Cre08.g385050	ATP binding protein kinase activity protein phosphorylation MAP kinase activity transferase activity kinase activity nucleotide binding protein serine/threonine kinase activity MAPK cascade nucleus cytoplasm intracellular signal transduction protein serine kinase activity	1.1554	0.763672	0.9167	0.315219	0.1928	0.775158	-0.0459	0.947229
Transcription	Cre08.g385350	Cre08.g385350	regulation of DNA-templated transcription DNA-binding transcription factor activity DNA binding nucleus	4.9839	0.763672	1.9561	0.262864	2.5787	0.627762	-0.4491	0.731935
Asparagine	Cre08.g385400	Cre08.g385400	nucleus asparaginase activity L-asparagine catabolic process periplasmic space regulation of gene expression	0.6755	0.773071	1.7668	0.225221	0.2341	0.850424	1.3255	0.606213
Sucrose	Cre08.g385500	Cre08.g385500	carbohydrate metabolic process calcium ion binding cation binding alpha-amylase activity hydrolase activity hydrolase activity, acting on glycosyl bonds sucrose catabolic process	-1.9313	0.763672	-3.0444	0.261112	0.8194	0.627762	-0.2937	0.778549
Serine	Cre08.g385650	Cre08.g385650	ATP binding protein kinase activity protein phosphorylation transferase activity kinase activity nucleotide binding protein serine/threonine kinase activity nucleus cytoplasm signal transduction regulation of meiotic cell cycle G2/M transition of mitotic cell cycle cyclin-dependent protein serine/threonine kinase activity	0.8978	0.87871	2.2403	0.235223	0.9174	0.669722	2.2599	0.606213
Protein_Kinase_Signalling	Cre08.g385750	Cre08.g385750	carbohydrate metabolic process kinase activity transferase activity nucleotide binding ATP binding gluconokinase activity	0.0294	0.993326	1.465	0.518038	1.0117	0.627762	2.4472	0.609259
Serine	Cre08.g385850	Cre08.g385850	ATP binding protein kinase activity protein phosphorylation transferase activity kinase activity nucleotide binding protein serine/threonine kinase activity nucleus cyclin-dependent protein kinase holoenzyme complex regulation of cell cycle positive regulation of transcription elongation by RNA polymerase II RNA polymerase II CTD heptapeptide repeat kinase activity cyclin-dependent protein serine/threonine kinase activity	0.1875	0.917134	-0.1519	0.690659	0.5831	0.631121	0.2438	0.744527
Transcription	Cre08.g386000	Cre08.g386000	histone acetyltransferase activity transcription initiation at RNA polymerase III promoter transcription factor TFIIIC complex chromatin remodeling	1.5947	0.763672	1.0593	0.357077	0.722	0.668223	0.1867	0.837203
Serine	Cre08.g386050	Cre08.g386050	membrane serine-type endopeptidase activity hydrolase activity peptidase activity proteolysis protein binding	-0.1418	0.962783	-0.7269	0.290652	0.743	0.637243	0.1579	0.884244
Ubiquitin_Proteasome	Cre09.g386400	Cre09.g386400	ubiquitin-like modifier activating enzyme activity nucleotide binding ATP binding ligase activity nucleus cytoplasm ubiquitin-dependent protein catabolic process DNA damage response ubiquitin activating enzyme activity protein ubiquitination ubiquitin-protein transferase activity protein modification by small protein conjugation protein modification process	0.7389	0.763672	0.6016	0.487439	0.5456	0.627762	0.4083	0.66768
Valine	Cre09.g386758	Cre09.g386758	catalytic activity magnesium ion binding flavin adenine dinucleotide binding acetolactate synthase activity branched-chain amino acid biosynthetic process transferase activity metal ion binding amino acid biosynthetic process isoleucine biosynthetic process L-valine biosynthetic process acetolactate synthase complex response to herbicide amino acid metabolic process carboxylic acid metabolic process	-0.4994	0.765014	-0.8857	0.174909	1.0927	0.627762	0.7065	0.606213
Phospholipid_Biosynthesis	Cre09.g386912	Cre09.g386912	O-acyltransferase activity transferase activity lipid metabolic process acyltransferase activity endoplasmic reticulum membrane diacylglycerol O-acyltransferase activity triglyceride biosynthetic process	0.2573	0.888559	-0.5813	0.281852	0.3912	0.671727	-0.4475	0.66768
Serine	Cre09.g387023	Cre09.g387023	ATP binding protein kinase activity protein phosphorylation transferase activity kinase activity nucleotide binding protein serine/threonine kinase activity cytoplasm signal transduction	0.4352	0.82975	0.1952	0.589339	0.3706	0.690061	0.1305	0.888456
Transcription	Cre09.g387150	Cre09.g387150	regulation of DNA-templated transcription DNA-binding transcription factor activity sequence-specific DNA binding DNA binding nucleus RNA polymerase II cis-regulatory region sequence-specific DNA binding	1.4929	0.763672	0.6172	0.359153	0.9689	0.627762	0.0932	0.903189
Serine	Cre09.g387208	Cre09.g387208	ATP binding protein kinase activity protein phosphorylation transferase activity kinase activity nucleotide binding protein serine/threonine kinase activity signal transduction	1.7173	0.763672	1.3134	0.372239	0.2122	0.81632	-0.1917	0.907165
Purine	Cre09.g387319	Cre09.g387319	oxidoreductase activity tRNA processing flavin adenine dinucleotide binding tRNA dihydrouridine synthase activity tRNA dihydrouridine synthesis tRNA-dihydrouridine47 synthase activity	0.7339	0.830506	0.1996	0.90087	0.9389	0.627762	0.4047	0.861059
Vitamin_B6_Pyridoxine	Cre09.g387726	Cre09.g387726	pyridoxal phosphate binding catalytic activity biosynthetic process transaminase activity amino acid metabolic process transferase activity L-aspartate:2-oxoglutarate aminotransferase activity mitochondrion	-1.462	0.765014	-2.1108	0.248365	0.949	0.627762	0.3001	0.76613
Ubiquitin_Proteasome	Cre09.g387750	Cre09.g387750	axoneme SCF ubiquitin ligase complex SCF-dependent proteasomal ubiquitin-dependent protein catabolic process protein binding	1.6321	0.763672	1.0304	0.412245	0.7033	0.634381	0.1017	0.939782
Ubiquitin_Proteasome	Cre09.g387801	Cre09.g387801	cytoplasm proteasome-mediated ubiquitin-dependent protein catabolic process protein-macromolecule adaptor activity GID complex cytoskeleton organization protein binding	0.4434	0.811989	0.2935	0.594782	0.6353	0.63713	0.4854	0.612633
Serine	Cre09.g387950	Cre09.g387950	ATP binding protein kinase activity protein phosphorylation transferase activity kinase activity nucleotide binding protein serine/threonine kinase activity signal transduction	2.7901	0.763672	2.1036	0.143326	1.2043	0.637243	0.5179	0.61327
Serine	Cre09.g388000	Cre09.g388000	ATP binding protein kinase activity protein phosphorylation RNA polymerase II CTD heptapeptide repeat kinase activity transcription factor TFIIK complex transcription factor TFIIH holo complex transferase activity nucleus kinase activity nucleotide binding protein serine/threonine kinase activity cytoplasm cyclin-dependent protein serine/threonine kinase activity cell division transcription initiation at RNA polymerase II promoter regulation of transcription by RNA polymerase II regulation of cell cycle	-0.4624	0.864356	-0.2508	0.672251	0.9854	0.627762	1.1969	0.606213
Zeaxanthin	Cre09.g388060	Cre09.g388060	oxidoreductase activity violaxanthin de-epoxidase activity xanthophyll cycle	0.0167	0.994255	0.5554	0.511986	0.8508	0.627762	1.3895	0.606213
Translation	Cre09.g388150	Cre09.g388150	translation ribosome structural constituent of ribosome ribonucleoprotein complex	0.114	0.934113	-0.4106	0.478141	0.4768	0.627762	-0.0478	0.961194
